Feature,Mean |SHAP|
Type de bien,0.1466468
temps_Maarif,0.083078995
 Taille_de_ménage,0.07607832
État,0.06289954
Condition / Zonage,0.04004372
 Taux_activité,0.016360192
temps_CFC,0.013961263
nb_ecoles_1km,0.012778755
dist_voie_primaire_min_m,0.011969693
nb_nuisance_500m,0.009142111
dist_mer,0.008802093
 Part_population_niveau_études_supérieur,0.008561658
temps_SidiMaarouf,0.008206524
dist_autoroute_min_m,0.0075073736
dist_banque_min_m,0.0067662415
dist_voie_secondaire_min_m,0.0067588566
dist_education_min_m,0.0064610345
 Taux_croissance,0.006362606
surface_verte_1km,0.006084758
nb_restaurants_500m,0.0059520695
 Densite_pop_km2,0.0058236597
dist_parc,0.005735948
densite_education,0.005669024
 Part_population_15_59_ans,0.005325266
temps_transport_centre,0.0047415094
dist_nuisance_min_m,0.0044926666
dist_sante_min_m,0.0043944465
dist_commerce_min_m,0.0040170243
nb_nuisance,0.0038372993
dist_environnement_min_m,0.003781098
nb_sante_1km,0.0032852115
nb_commerces_1km,0.003266835
dist_clinique,0.003044869
temps_port,0.0025297916
 Taux_analphabétisme,0.002520768
nb_axes_500m,0.0024875652
dist_boulevard_principal,0.0024768345
dist_transport_min_m,0.0023451874
dist_tram,0.0018922676
nb_stations_1km,0.0013244959
 Part_salariés_parmi_actifs,0.0011826009
nb_banques_1km,0.0011419015
 Taux_chômage,0.0010996931
dist_ecole,0.0009877884
