category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website,dist_motorway_m,dist_primary_m,dist_secondary_m,road_accessibility_score
education,257474936,node,,college,33.5806507,-7.5936521,,,,,6216.0,81.0,70.0,0.67
education,626129998,node,Ibno Abdou Rabih,school,33.6129183,-7.5498942,,,,,7181.0,328.0,369.0,0.275
education,1184211982,node,chefchaouni الشفشاوني,school,33.611407,-7.5321537,Boulevard Chefchaouni,,,,6062.0,753.0,35.0,0.442
education,1184211992,node,idriss 2 إدريس الثاني,school,33.6110764,-7.5327438,Boulevard Chefchaouni,,,,6059.0,755.0,39.0,0.435
education,1184212200,node,ثانوية ابن العوام,school,33.6131761,-7.5348037,,,,,6358.0,619.0,47.0,0.422
education,1284530339,node,Ecole Madania,school,33.5816989,-7.6086159,,,,,6982.0,248.0,79.0,0.403
education,1284530342,node,Ecole La Residence,school,33.5814397,-7.6079507,,,,,6924.0,301.0,34.0,0.443
education,1307904330,node,melouia,school,33.5584237,-7.6888665,,,,,5857.0,1430.0,55.0,0.408
education,1307904336,node,ouad el makhazin,school,33.559311,-7.6898538,,,,,5980.0,1320.0,33.0,0.445
education,1926947271,node,George Washington Academy,school,33.5528661,-7.7252133,,,,,6827.0,325.0,455.0,0.28
education,2378025797,node,Othmane Ibn Affane,school,33.5166241,-7.6506225,,,,,1892.0,1363.0,259.0,0.068
education,2582305781,node,Lycée oum el banine,school,33.5594424,-7.606326,,,,,4938.0,228.0,149.0,0.435
education,2582305782,node,Collège,school,33.5598965,-7.6052049,,,,,4898.0,221.0,264.0,0.446
education,2582305784,node,Lycée El Bakilani,school,33.558815,-7.6023179,,,,,4623.0,114.0,128.0,0.618
education,2582305785,node,École primaire Boujdour,school,33.558923,-7.6014753,,,,,4577.0,103.0,62.0,0.635
education,2640314838,node,Les Poussins,kindergarten,33.5843196,-7.6419924,,,,,8531.0,337.0,71.0,0.382
education,2643927889,node,Art'com Sup,school,33.5916192,-7.6261076,,,,,8824.0,388.0,47.0,0.422
education,2711741028,node,Ecole Barhoumy,school,33.5794165,-7.6376429,,,,,7889.0,121.0,96.0,0.606
education,2714778062,node,Groupe scolaire Elouatki Kaoukabi. Collège lycée Sabrine,school,33.5756546,-7.6797542,lotissement Ouba,Casablanca,,,7536.0,32.0,567.0,0.749
education,2714785480,node,Maternelle-Primaire Elouatki Kaoukabi,school,33.577175,-7.6793365,rue 3 lots Wakanati,Casablanca,,,7698.0,183.0,499.0,0.507
education,2789431453,node,Collège Iman El Jazouli,school,33.556999,-7.6799189,,,,,5491.0,1802.0,114.0,0.31
education,2874898043,node,Groupe Scolaire El Farabi II,school,33.5977896,-7.6327744,,,,,9746.0,512.0,78.0,0.37
education,2892400981,node,ENCG Casablanca,college,33.5939556,-7.5302155,,,,,4395.0,133.0,54.0,0.587
education,2902579298,node,institut de formation de carrière de santé,college,33.5761747,-7.6254293,,,,,7282.0,815.0,36.0,0.44
education,2935934501,node,Groupe Scolaire Les Jumeaux,school,33.5851823,-7.6160114,Avenue Mers Sultan,,,,7690.0,221.0,28.0,0.453
education,3214364732,node,Acadamie Arts Traditionels,school,33.605547,-7.6302459,,,,,10300.0,257.0,40.0,0.433
