category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website
commerce_retail,553212547,node,Marjane,supermarket,33.5446703,-7.639958,,,,
commerce_retail,1246675418,node,,convenience,33.6004234,-7.6172703,,,,
commerce_retail,1464579577,node,Acima,supermarket,33.5945384,-7.595292,Boulevard Emile Zola,,,
commerce_retail,1746905774,node,,convenience,33.5966384,-7.628025,,,,
commerce_retail,1746905778,node,,convenience,33.596692,-7.6297201,,,,
commerce_retail,1746905781,node,,convenience,33.5966429,-7.6296397,,,,
commerce_retail,1746905786,node,,convenience,33.5960083,-7.627848,,,,
commerce_retail,1746921489,node,,convenience,33.5971612,-7.628353,,,,
commerce_retail,1746934347,node,,convenience,33.5965848,-7.6302949,,,,
commerce_retail,1848408214,node,Marjane,supermarket,33.5746919,-7.7081046,,,,
commerce_retail,1867124354,node,Supermarché Mamoun,supermarket,33.5879309,-7.6393934,Rue Normandie زنقة نورماندي,,,
commerce_retail,1875063750,node,,convenience,33.5101793,-7.6077293,,,,
commerce_retail,1875063785,node,,convenience,33.5110067,-7.6104565,,,,
commerce_retail,2121564108,node,Alpha 55,mall,33.5889869,-7.6183438,,,,
commerce_retail,2140793928,node,,convenience,33.5957716,-7.6275422,,,,
commerce_retail,2156197334,node,Marjane Market,supermarket,33.594818,-7.6515874,Boulevard de Bourgogne شارع بوركون,,,
commerce_retail,2156197358,node,Carrefour Gourmet,supermarket,33.5908121,-7.6462218,Avenue Ahmed Charci شارع أحمد الشرسي,,,
commerce_retail,2349795861,node,Hachmi,supermarket,33.6022232,-7.5788395,,,,
commerce_retail,2382130572,node,Carrefour,supermarket,33.5981369,-7.6644676,Boulevard de la Corniche شارع الكورنيش,,,
commerce_retail,2382145125,node,Kiabi,mall,33.5377715,-7.6431343,,,,
commerce_retail,2405446774,node,Abbatoir,marketplace,33.5479159,-7.5502365,,,,
commerce_retail,2429582825,node,,convenience,33.5992194,-7.6137934,,,,
commerce_retail,2681851809,node,mahlaba,department_store,33.5447533,-7.5624617,,,,
commerce_retail,2694336684,node,BIM,supermarket,33.5640326,-7.555968,,,,
commerce_retail,2701052255,node,InfraBasic Morocco,department_store,33.5843778,-7.6102792,Boulevard de la Liberté,,,
commerce_retail,2711741036,node,Carrefour Market,supermarket,33.5802189,-7.6409084,Rue Al Fourate زنقة الفرات,,,
commerce_retail,2714699192,node,BİM,supermarket,33.5972247,-7.6346254,,,,
commerce_retail,2824741221,node,Armel,department_store,33.5849103,-7.6336391,,,,
commerce_retail,2879158742,node,Libre Service Zaki,convenience,33.5917672,-7.6383605,Rue Michel Ange زنقة ميشبل أنج,,,
commerce_retail,2881796420,node,BİM,supermarket,33.6014315,-7.6346726,,,,
commerce_retail,2892372049,node,Marjane,supermarket,33.595682,-7.531687,,,,
commerce_retail,2895214170,node,Supermarché,supermarket,33.601049,-7.632989,Boulevard Moulay Youssef,,,
commerce_retail,2902579299,node,Carrefour Market,supermarket,33.5730326,-7.6198771,,,,
commerce_retail,2902579300,node,BİM,supermarket,33.5729969,-7.6201882,,,,
commerce_retail,2903614166,node,,convenience,33.5727535,-7.6565277,,,,
commerce_retail,2903614171,node,O'self,supermarket,33.5733212,-7.6564955,,,,
commerce_retail,2903614179,node,Tropy,supermarket,33.5737413,-7.6556158,,,,
commerce_retail,2903614180,node,,convenience,33.5732318,-7.6555836,,,,
commerce_retail,2903614192,node,BİM,supermarket,33.5708852,-7.6517909,,,,
commerce_retail,2903627419,node,Anoual Capital Centre,mall,33.5691589,-7.6263509,,,,
commerce_retail,2916714198,node,Centre commercial Sorour,mall,33.5917373,-7.6270098,,,,
commerce_retail,3220291686,node,BİM,supermarket,33.557744,-7.559864,,,,
commerce_retail,3221061261,node,Protectron Maroc,supermarket,33.5835673,-7.596623,Avenue Ouled Ziane,,+212 522 20 80 80,www.protectron.us
commerce_retail,3228678356,node,Supermarche Bim,supermarket,33.5841994,-7.5826163,,,,
commerce_retail,3359696119,node,BİM,supermarket,33.5939838,-7.6244925,,,,
commerce_retail,3590412052,node,Bim,convenience,33.5530459,-7.5897091,,,,
commerce_retail,3602074169,node,BİM,supermarket,33.5957829,-7.628286,,,,
commerce_retail,3602074170,node,Carrefour Market,supermarket,33.597148,-7.6294045,Boulevard Ziraoui شارع الزيراوي,,,
commerce_retail,3639392309,node,Acima Mers Sultan,supermarket,33.5761212,-7.6156344,Avenue 2 Mars,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,,
commerce_retail,3788381533,node,Aswak Assalam,supermarket,33.5808385,-7.5928561,,Casablanca,,
commerce_retail,3797205284,node,Epicerie El Aarbi,convenience,33.6008471,-7.5796349,,,,
commerce_retail,3956887759,node,Centre Artisanal,convenience,33.5997833,-7.6371617,,,,
commerce_retail,4100382809,node,BİM,supermarket,33.5891579,-7.6310019,,,,
commerce_retail,4114077690,node,Marché Salmia 2,supermarket,33.5386572,-7.5532235,,,,
commerce_retail,4190920144,node,Moumni Snack,convenience,33.5832949,-7.6187043,Rue Al Houdhoud,,,
commerce_retail,4193561189,node,Mazda,department_store,33.5975901,-7.6157256,,,,
commerce_retail,4193561290,node,BMI,supermarket,33.5972407,-7.6152396,,,,
commerce_retail,4225325202,node,Chez Abed,convenience,33.5858232,-7.611757,Boulevard d'Alsace,,,
commerce_retail,4225325236,node,,convenience,33.584753,-7.6108485,Boulevard de la Liberté,,,
commerce_retail,4225325237,node,,convenience,33.5848631,-7.6108948,Boulevard de la Liberté,,,
commerce_retail,4225325243,node,,convenience,33.5855528,-7.6128631,Boulevard d'Alsace,,,
commerce_retail,4225325245,node,,convenience,33.5857737,-7.6123614,,,,
commerce_retail,4225325263,node,,convenience,33.5858386,-7.6115699,Boulevard d'Alsace,,,
commerce_retail,4225325278,node,,supermarket,33.5886673,-7.6130079,Boulevard du 11 Janvier,,,
commerce_retail,4232899415,node,,convenience,33.593054,-7.6140391,,,,
commerce_retail,4338345197,node,BIM,supermarket,33.5925748,-7.4882884,,,,
commerce_retail,4338387289,node,BIM,supermarket,33.5935945,-7.49564,,,,
commerce_retail,4346039590,node,BIM,supermarket,33.6039372,-7.4892783,,,,
commerce_retail,4350335179,node,BIM بيم,supermarket,33.6205532,-7.4870931,,Casablanca,,
commerce_retail,4385889309,node,,convenience,33.6013825,-7.6346063,,,,
commerce_retail,4387433585,node,,convenience,33.5998131,-7.6344641,,,,
commerce_retail,4398086252,node,Economat du professeur,supermarket,33.5882331,-7.6310778,,,,
commerce_retail,4427697999,node,OGAP,department_store,33.5696142,-7.6258604,Boulevard Abdelmoumen,,+212 5 22 86 56 55,http://www.ogap.ma
commerce_retail,4486145290,node,Carrefour,supermarket,33.5844973,-7.6080134,,,,
commerce_retail,4547873290,node,سوق الخليل,supermarket,33.5479552,-7.5974437,,,,
commerce_retail,4577421090,node,الكل ب 5 دراهم سيدي مومن,convenience,33.580233,-7.5415993,,,,
commerce_retail,4588766267,node,BIM,supermarket,33.5395666,-7.5833828,,,,
commerce_retail,4680487690,node,Acima آسيما,supermarket,33.540036,-7.6003544,,,,
commerce_retail,4745754458,node,Marjane Market,supermarket,33.5743416,-7.65024,Boulevard Ghandi شارع غاندي,,,
commerce_retail,4897177325,node,Dussy,department_store,33.6012122,-7.6340939,,,,
commerce_retail,4949762492,node,BİM,supermarket,33.5982648,-7.5223526,,,,
commerce_retail,5081744174,node,Bim,supermarket,33.568153,-7.5316741,,,,
commerce_retail,5104933621,node,,convenience,33.6103012,-7.5304115,,,,
commerce_retail,5126989232,node,Tachfine center,supermarket,33.5866306,-7.5924065,Boulevard Youssef Ben Tachfine,,,
commerce_retail,5268379085,node,Coquillage Market,supermarket,33.5904924,-7.6280568,Rue Moussa Bnou Noussair زنقة موسى بن نصير,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,,
commerce_retail,5268381133,node,BIM,convenience,33.6020163,-7.6438822,,,,
commerce_retail,5291843491,node,Bim,supermarket,33.5759943,-7.5179027,,,,
commerce_retail,5291843492,node,Bim,supermarket,33.5725129,-7.5318442,,,,
commerce_retail,5314907624,node,BİM,supermarket,33.6002411,-7.6178059,,,,
commerce_retail,5321031121,node,Carrefour,supermarket,33.5739187,-7.6445744,,,,
commerce_retail,5322671621,node,BİM,supermarket,33.600148,-7.6178386,,,,
commerce_retail,5506425821,node,BIM بيم,supermarket,33.5614104,-7.5337165,,,,
commerce_retail,5579609066,node,Carrefour Market,supermarket,33.5841408,-7.599484,Boulevard de la Gironde,,,
commerce_retail,5579637838,node,Shell Select,convenience,33.5733051,-7.6149409,Rue Alyazidi Mohamed,,,
commerce_retail,5618306120,node,Plus,supermarket,33.5930481,-7.5174715,Boulevard Mohamed Al Bakkali,,,
commerce_retail,5627299163,node,Snack Canizares,convenience,33.5872307,-7.6111475,Rue el Brihi Ahmed,,,
commerce_retail,5633523498,node,Asia Supermarché,supermarket,33.588586,-7.6110077,Boulevard Rahal El Meskini,,,
commerce_retail,5636207817,node,Snack City,convenience,33.5850687,-7.621232,Rue Darâa,,,
commerce_retail,5638647160,node,Snack Abdou,convenience,33.5770497,-7.6330103,Zanqat 35,,,
commerce_retail,5638647165,node,Snack Amine,convenience,33.5769276,-7.6332021,Zanqat 35,,,
commerce_retail,5640190801,node,Snack Aloum,convenience,33.569411,-7.6285833,Boulevard d'Anoual,,,
commerce_retail,5640192121,node,Snack Fixi,convenience,33.5754778,-7.6263933,Rue Abderrahman Zemmouri,,,
commerce_retail,5640192216,node,Snack Essaada,convenience,33.577312,-7.6329808,Zanqat 35,,,
commerce_retail,5640192226,node,Maro Snack,convenience,33.575046,-7.6260258,Boulevard Abdelmoumen,,,
commerce_retail,5656943134,node,Para Vida,convenience,33.5651892,-7.6079075,Rue 21,,,
commerce_retail,5657167238,node,Marjane Market,supermarket,33.5879069,-7.6125249,Boulevard Rahal El Meskini,,,
commerce_retail,5657167250,node,,supermarket,33.588499,-7.6144239,Rue Al Habacha,,,
commerce_retail,5657171554,node,Marjane,supermarket,33.59444,-7.6086746,Boulevard Mohamed Smiha,,,
commerce_retail,5675830800,node,Tiago Shop,convenience,33.5513514,-7.6842593,Zanqat 146,,,
commerce_retail,5685795283,node,Alimentation Générale,convenience,33.5420408,-7.6773714,,,,
commerce_retail,5700510319,node,BİM,supermarket,33.5840702,-7.6376258,Rue Oussama Ibnou Zaid زنقة أسامة بن زيد,,,
commerce_retail,6027845069,node,Bim,supermarket,33.5553862,-7.6997912,,Casablanca,,
commerce_retail,6027981092,node,fruits et légumes خضر و فواكه,convenience,33.6094995,-7.5332786,Allée de Jasmins,,,
commerce_retail,6027983085,node,,convenience,33.6094799,-7.5333448,Allée de Jasmins,,,
commerce_retail,6051578742,node,Carrefour Market,supermarket,33.5926838,-7.6011795,,,,
commerce_retail,6051578743,node,Bim,supermarket,33.586847,-7.6033536,,,,
commerce_retail,6260970486,node,BIM,supermarket,33.5998615,-7.6374127,,,,
commerce_retail,6260970985,node,BIM,supermarket,33.6019964,-7.6380539,,,,
commerce_retail,6260971085,node,Otob,supermarket,33.6008678,-7.6355528,,,,
commerce_retail,6260971086,node,,convenience,33.6006423,-7.6382676,,,,
commerce_retail,6260971187,node,,convenience,33.5998343,-7.635678,,,,
commerce_retail,6411471543,node,BIM,supermarket,33.5343791,-7.7254623,,,,
commerce_retail,6427695686,node,BİM,supermarket,33.5944393,-7.6061698,,,,
commerce_retail,6525264991,node,,convenience,33.6094935,-7.5335605,Boulevard Chefchaouni,,,
commerce_retail,6525264992,node,,convenience,33.6113542,-7.5309654,,,,
commerce_retail,6525313085,node,,convenience,33.6122464,-7.5308494,Boulevard de la Gare,,,
commerce_retail,6567406902,node,BİM,supermarket,33.5189452,-7.6444846,,,,
commerce_retail,6593067875,node,Epicier Oujdi,supermarket,33.5217794,-7.6455492,,,,
commerce_retail,6593157471,node,BİM,supermarket,33.5147228,-7.6453389,,,,
commerce_retail,6593304003,node,BİM,supermarket,33.5275404,-7.6496876,,,,
commerce_retail,7081606785,node,سوق السلام,supermarket,33.5849068,-7.5540871,,,,
commerce_retail,7099431252,node,Marjane,supermarket,33.4753036,-7.6069947,,,,
commerce_retail,7168679419,node,BİM,supermarket,33.612414,-7.499001,,,,
commerce_retail,7168974694,node,BİM,supermarket,33.6180007,-7.4804327,,,,
commerce_retail,7169432350,node,Bim,supermarket,33.6028221,-7.51024,,,,
commerce_retail,7169432352,node,BİM,supermarket,33.6085701,-7.5204759,,,,
commerce_retail,7524700685,node,alimentation général ZAHRI,supermarket,33.5337483,-7.5561429,10,,+212 6 03 72 94 61,
commerce_retail,8449510318,node,,convenience,33.6009395,-7.6349887,,,,
commerce_retail,8475709617,node,,convenience,33.598828,-7.6375821,,,,
commerce_retail,8755951134,node,BİM,supermarket,33.5833045,-7.6221079,,,,
commerce_retail,8756264788,node,Carrefour Market,supermarket,33.5740376,-7.6361871,Rue Henri Murger,,,
commerce_retail,8756312691,node,BİM,supermarket,33.5765392,-7.6464177,,,,
commerce_retail,8757524291,node,BİM,supermarket,33.5937022,-7.5987385,Place Al Yassir,Casablanca,,
commerce_retail,8758727346,node,Tropy,supermarket,33.5761384,-7.6601328,Rue de l'Atlas,Casablanca,,
commerce_retail,8758981928,node,Bogos .ma,mall,33.5619197,-7.5917098,Boulevard Touria Chaoui,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,+212 6 56 54 52 25,
commerce_retail,8758981929,node,atat Janat,mall,33.5621119,-7.5914094,Boulevard Touria Chaoui,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,+212 6 69 02 39 57,
commerce_retail,8759322185,node,Marjane Market مرجان ماركت,supermarket,33.566764,-7.6559254,Boulevard Sidi Abderrahmane شارع سيدي عبد الرحمان,,,
commerce_retail,8810113917,node,Carrefour market,supermarket,33.591678,-7.5948403,,,,
commerce_retail,8880696017,node,مقتصدية التعليم سيدي البرنوصي,supermarket,33.6083504,-7.4998647,,,,
