category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website
education,257474936,node,,college,33.5806507,-7.5936521,,,,
education,626129998,node,Ibno Abdou Rabih,school,33.6129183,-7.5498942,,,,
education,1184211982,node,chefchaouni الشفشاوني,school,33.611407,-7.5321537,Boulevard Chefchaouni,,,
education,1184211992,node,idriss 2 إدريس الثاني,school,33.6110764,-7.5327438,Boulevard Chefchaouni,,,
education,1184212200,node,ثانوية ابن العوام,school,33.6131761,-7.5348037,,,,
education,1284530339,node,Ecole Madania,school,33.5816989,-7.6086159,,,,
education,1284530342,node,Ecole La Residence,school,33.5814397,-7.6079507,,,,
education,1307904330,node,melouia,school,33.5584237,-7.6888665,,,,
education,1307904336,node,ouad el makhazin,school,33.559311,-7.6898538,,,,
education,1926947271,node,George Washington Academy,school,33.5528661,-7.7252133,,,,
education,2378025797,node,Othmane Ibn Affane,school,33.5166241,-7.6506225,,,,
education,2582305781,node,Lycée oum el banine,school,33.5594424,-7.606326,,,,
education,2582305782,node,Collège,school,33.5598965,-7.6052049,,,,
education,2582305784,node,Lycée El Bakilani,school,33.558815,-7.6023179,,,,
education,2582305785,node,École primaire Boujdour,school,33.558923,-7.6014753,,,,
education,2640314838,node,Les Poussins,kindergarten,33.5843196,-7.6419924,,,,
education,2643927889,node,Art'com Sup,school,33.5916192,-7.6261076,,,,
education,2711741028,node,Ecole Barhoumy,school,33.5794165,-7.6376429,,,,
education,2714778062,node,Groupe scolaire Elouatki Kaoukabi. Collège lycée Sabrine,school,33.5756546,-7.6797542,lotissement Ouba,Casablanca,,
education,2714785480,node,Maternelle-Primaire Elouatki Kaoukabi,school,33.577175,-7.6793365,rue 3 lots Wakanati,Casablanca,,
education,2789431453,node,Collège Iman El Jazouli,school,33.556999,-7.6799189,,,,
education,2874898043,node,Groupe Scolaire El Farabi II,school,33.5977896,-7.6327744,,,,
education,2892400981,node,ENCG Casablanca,college,33.5939556,-7.5302155,,,,
education,2902579298,node,institut de formation de carrière de santé,college,33.5761747,-7.6254293,,,,
education,2935934501,node,Groupe Scolaire Les Jumeaux,school,33.5851823,-7.6160114,Avenue Mers Sultan,,,
education,3214364732,node,Acadamie Arts Traditionels,school,33.605547,-7.6302459,,,,
education,3346775601,node,École Supérieure en Ingénierie de l'Information de Télécommunication Management et Bâtiment,college,33.5911322,-7.6276619,Rue Moussa Bnou Noussair زنقة موسى بن نصير,,,
