category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website
espaces_verts_loisirs,2383572053,node,Jardin de la Préfecture,park,33.5237605,-7.6500524,,,,
espaces_verts_loisirs,5264084306,node,le jardin du 35,garden,33.5620847,-7.6260898,,,,
espaces_verts_loisirs,5264084318,node,Le jardin du 36,garden,33.5622602,-7.6263097,,,,
espaces_verts_loisirs,5467116469,node,,garden,33.5612099,-7.6912189,,,,
espaces_verts_loisirs,6411432104,node,Jardin Errahma,park,33.5342982,-7.7248809,,,,
espaces_verts_loisirs,7168801056,node,,pitch,33.6135242,-7.4945888,,,,
espaces_verts_loisirs,7168974599,node,,pitch,33.6158698,-7.4869987,,,,
espaces_verts_loisirs,8756483707,node,COC Tennis,pitch,33.5603341,-7.6472299,,,,
espaces_verts_loisirs,8758981930,node,Jardin Idrissia,garden,33.5658332,-7.5879055,,,,
espaces_verts_loisirs,12113286543,node,,pitch,33.5629964,-7.6579059,,,,
espaces_verts_loisirs,12328946044,node,Promenade Maritime de la Mosquée Hassan II,park,33.6046877,-7.6447275,Boulevard de la Corniche شارع الكورنيش,,,
espaces_verts_loisirs,12482426090,node,The Tony Jacklin Casablanca,golf_course,33.465061,-7.6061156,,,,
espaces_verts_loisirs,85497352,way,Murdoch Park,park,33.5794202,-7.6131727,,,,
espaces_verts_loisirs,85497370,way,,park,33.5769466,-7.6059803,,,,
espaces_verts_loisirs,85497377,way,,garden,33.5777621,-7.6064926,,,,
espaces_verts_loisirs,108730139,way,,park,33.599719,-7.615648,,,,
espaces_verts_loisirs,108730143,way,,park,33.6002826,-7.6171605,,,,
espaces_verts_loisirs,133107742,way,stade Anatole,pitch,33.5932609,-7.5964155,,,,
espaces_verts_loisirs,133107745,way,Jardin palestine,park,33.594588,-7.5920127,,,,
espaces_verts_loisirs,136901917,way,Golf Royal d'Anfa,golf_course,33.5871745,-7.656936,,,,
espaces_verts_loisirs,167625382,way,,park,33.5770497,-7.606763,,,,
espaces_verts_loisirs,167625452,way,,park,33.5770498,-7.6063767,,,,
espaces_verts_loisirs,174670382,way,Plage Aïn Diab ⴰⴼⵜⴰⵙ ⵏ ⵄⵉⵏ ⴷⴷⵢⴰⴱ شاطئ عين الذئاب,beach,33.586951,-7.6914739,,,,
espaces_verts_loisirs,177804409,way,,pitch,33.5564398,-7.6471934,,,,
espaces_verts_loisirs,177804410,way,,pitch,33.554057,-7.6502185,,,,
espaces_verts_loisirs,177804412,way,,pitch,33.5560524,-7.6474896,,,,
espaces_verts_loisirs,177804415,way,,pitch,33.555786,-7.6479122,,,,
espaces_verts_loisirs,177804416,way,,pitch,33.5556453,-7.6485017,,,,
espaces_verts_loisirs,177804421,way,,pitch,33.5611133,-7.6491379,,,,
espaces_verts_loisirs,177804423,way,,pitch,33.5583229,-7.6468904,,,,
espaces_verts_loisirs,177804424,way,,pitch,33.5557189,-7.6482073,,,,
espaces_verts_loisirs,177804425,way,,pitch,33.5558618,-7.6476528,,,,
espaces_verts_loisirs,177804426,way,,pitch,33.5589979,-7.6476454,,,,
espaces_verts_loisirs,177804427,way,,pitch,33.55655,-7.6470743,,,,
espaces_verts_loisirs,177804430,way,,pitch,33.5552111,-7.6483517,,,,
espaces_verts_loisirs,177804431,way,,pitch,33.5568252,-7.6505631,,,,
espaces_verts_loisirs,177804433,way,,pitch,33.5572825,-7.6516087,,,,
espaces_verts_loisirs,177804434,way,,pitch,33.5599168,-7.6465265,,,,
espaces_verts_loisirs,177804435,way,,pitch,33.5562789,-7.6473474,,,,
espaces_verts_loisirs,177804437,way,,pitch,33.5526855,-7.6500262,,,,
espaces_verts_loisirs,177804440,way,,pitch,33.5561277,-7.6488489,,,,
espaces_verts_loisirs,177804441,way,,pitch,33.5552814,-7.6480563,,,,
espaces_verts_loisirs,177804701,way,,pitch,33.5608072,-7.6484432,,,,
espaces_verts_loisirs,186193476,way,,pitch,33.5828655,-7.6468168,,,,
espaces_verts_loisirs,214253931,way,,pitch,33.5777317,-7.5583172,,,,
espaces_verts_loisirs,214253959,way,Place Al Yassir,park,33.5932124,-7.5977792,,,,
espaces_verts_loisirs,216017715,way,,pitch,33.5539621,-7.6492536,,,,
espaces_verts_loisirs,216026814,way,,pitch,33.5429738,-7.617845,,,,
espaces_verts_loisirs,230220017,way,,pitch,33.5091907,-7.6537811,,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,,
espaces_verts_loisirs,243241025,way,,park,33.5354746,-7.5741023,,,,
espaces_verts_loisirs,243445394,way,Derb tazi,pitch,33.6051763,-7.6268629,,,,
espaces_verts_loisirs,243462658,way,,pitch,33.5988479,-7.6350396,,,,
espaces_verts_loisirs,243463237,way,,park,33.599171,-7.6334745,,,,
espaces_verts_loisirs,243463292,way,Parc le Lac,park,33.6023142,-7.6357926,,,,
espaces_verts_loisirs,243463773,way,,park,33.5996209,-7.6352965,,,,
espaces_verts_loisirs,243836853,way,,pitch,33.5981685,-7.6356867,,,,
espaces_verts_loisirs,243836855,way,,pitch,33.5983295,-7.6361368,,,,
espaces_verts_loisirs,243836856,way,,pitch,33.5979663,-7.6359613,,,,
espaces_verts_loisirs,243836858,way,,pitch,33.5982269,-7.6361184,,,,
espaces_verts_loisirs,243836860,way,,pitch,33.5981293,-7.6348368,,,,
espaces_verts_loisirs,243836861,way,,pitch,33.5981673,-7.6364542,,,,
espaces_verts_loisirs,243836863,way,,pitch,33.5985448,-7.634073,,,,
espaces_verts_loisirs,243836865,way,,pitch,33.5980634,-7.6352165,,,,
espaces_verts_loisirs,243836866,way,,pitch,33.5979437,-7.6361219,,,,
espaces_verts_loisirs,243836867,way,,pitch,33.5980537,-7.6355037,,,,
espaces_verts_loisirs,243836868,way,,pitch,33.5989027,-7.6344404,,,,
espaces_verts_loisirs,243836869,way,,pitch,33.5983836,-7.6349526,,,,
espaces_verts_loisirs,243836870,way,,pitch,33.5981246,-7.6360979,,,,
espaces_verts_loisirs,243836871,way,,pitch,33.5981302,-7.6367272,,,,
espaces_verts_loisirs,243836872,way,,pitch,33.5985468,-7.634362,,,,
espaces_verts_loisirs,243836873,way,,pitch,33.5983057,-7.6340314,,,,
espaces_verts_loisirs,243836874,way,,pitch,33.5979247,-7.6364279,,,,
espaces_verts_loisirs,243836875,way,,pitch,33.5983077,-7.6355569,,,,
espaces_verts_loisirs,243836876,way,,pitch,33.5983442,-7.6351917,,,,
espaces_verts_loisirs,243836877,way,,pitch,33.5980855,-7.6350867,,,,
espaces_verts_loisirs,243836878,way,,pitch,33.5983322,-7.6353969,,,,
espaces_verts_loisirs,243836879,way,,pitch,33.5981059,-7.6349587,,,,
espaces_verts_loisirs,243836880,way,,pitch,33.598076,-7.6353763,,,,
espaces_verts_loisirs,243836883,way,,pitch,33.5983107,-7.6347584,,,,
espaces_verts_loisirs,243914766,way,,garden,33.5623579,-7.5581688,,,,
espaces_verts_loisirs,243914767,way,,garden,33.5625475,-7.5572434,,,,
espaces_verts_loisirs,243914768,way,,garden,33.5618086,-7.5575859,,,,
espaces_verts_loisirs,243914769,way,,garden,33.5626441,-7.556083,,,,
espaces_verts_loisirs,243914770,way,,garden,33.5612634,-7.5548409,,,,
espaces_verts_loisirs,243914771,way,,garden,33.5610189,-7.5568973,,,,
espaces_verts_loisirs,244038199,way,,park,33.5574329,-7.5596339,,,,
espaces_verts_loisirs,244038200,way,,park,33.5573063,-7.559226,,,,
espaces_verts_loisirs,244038201,way,,park,33.5578526,-7.5585623,,,,
espaces_verts_loisirs,244038202,way,,park,33.5598848,-7.5551731,,,,
espaces_verts_loisirs,244042399,way,,park,33.560134,-7.5574338,,,,
espaces_verts_loisirs,244042400,way,,park,33.5599971,-7.5564998,,,,
espaces_verts_loisirs,244042401,way,,park,33.5595,-7.5577397,,,,
espaces_verts_loisirs,248378001,way,Jardin ALECSO ⵜⵓⵔⵜⵉⵜ ⵏ ⴰⵍⵉⵙⴽⵓ حديقة اليكسو,park,33.5512032,-7.5663647,,,,
espaces_verts_loisirs,250410011,way,,park,33.525913,-7.6436693,,,,
espaces_verts_loisirs,250426635,way,Parc l'Hermitage,park,33.5648606,-7.6130586,,,,
espaces_verts_loisirs,272993168,way,حديقة الجيش الملكي,garden,33.5961282,-7.6239915,,,,
espaces_verts_loisirs,274182685,way,Parc Wifaq,park,33.5578394,-7.6878958,,,,
espaces_verts_loisirs,306143887,way,,garden,33.5987419,-7.6121141,,,,
espaces_verts_loisirs,306143891,way,,garden,33.5980387,-7.6120029,,,,
espaces_verts_loisirs,307038331,way,,pitch,33.594239,-7.5795852,,,,
espaces_verts_loisirs,307922650,way,Jardin Ibn El Awam Al Andaloussi,garden,33.5740358,-7.5192328,,,,https://www.facebook.com/RMPermaUrbaine
espaces_verts_loisirs,321729985,way,Plage Madame Choual ⴰⴼⵜⴰⵙ ⵏ ⵎⴰⴷⴰⵎ ⵛⵡⵡⴰⵍ شاطئ السيدة شوال,beach,33.5686935,-7.7229883,,,,
espaces_verts_loisirs,371934006,way,,pitch,33.5337949,-7.6750755,,,,
espaces_verts_loisirs,379401893,way,,park,33.546613,-7.5963046,,,,
espaces_verts_loisirs,380068353,way,Jardin Casa-Voyageurs,park,33.5901086,-7.5922147,,,,
espaces_verts_loisirs,380068355,way,Jardin Casavoyageurs,park,33.5903358,-7.5917778,,,,
espaces_verts_loisirs,389456655,way,,park,33.5524902,-7.6311469,,,,
espaces_verts_loisirs,390654057,way,,garden,33.5947955,-7.6187847,,,,
