category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website
restauration_loisirs,516618709,node,La Bodega,restaurant,33.5952195,-7.6115725,Rue Allal Ben Abdellah,Casablanca,,https://restopro.ma/bodega
restauration_loisirs,516618724,node,Novotel Casablanca City Centre,hotel,33.5984192,-7.6137821,Rue Sidi Belyout,Casablanca,,https://all.accor.com/hotel/6572/index.fr.shtml
restauration_loisirs,516618742,node,La Sqala,restaurant,33.6028481,-7.619212,Boulevard des Almohades,Casablanca,,https://restopro.ma/sqala
restauration_loisirs,516618748,node,Pizza Hut,restaurant,33.5928474,-7.597267,,,,
restauration_loisirs,566450743,node,Hôtel Galia,hotel,33.5939334,-7.6125481,,,,
restauration_loisirs,566450810,node,,restaurant,33.5896864,-7.6265742,,,,
restauration_loisirs,770274905,node,Chez Pépé,restaurant,33.595533,-7.6454829,,,,
restauration_loisirs,997888794,node,,theatre,33.564195,-7.6304757,,,,
restauration_loisirs,1095130670,node,Zenith,hotel,33.5365506,-7.6645555,,,,
restauration_loisirs,1139055213,node,Diwan Casablanca ديوان الدار البيضاء,hotel,33.5960268,-7.6096273,Boulevard Hassan Seghir شارع حسن الصغير,,+212 5 22 44 65 14,https://www.hoteldiwancasablanca.com/
restauration_loisirs,1163274346,node,East West Hotel,hotel,33.5925751,-7.6299633,,,,
restauration_loisirs,1184212201,node,,theatre,33.6137569,-7.5335559,,,,
restauration_loisirs,1246675480,node,Hôtel central,hotel,33.6000885,-7.6173257,Place Ahmad el Bidaoui,,+212 6 61 16 28 26,
restauration_loisirs,1246675535,node,,restaurant,33.5999101,-7.6174265,,,,
restauration_loisirs,1284530297,node,Au 19 Heure,cafe,33.5827625,-7.6112767,,,,
restauration_loisirs,1339080540,node,Maeva,cafe,33.5957256,-7.5933532,,,,
restauration_loisirs,1464269339,node,,cafe,33.5924515,-7.5954887,,,,
restauration_loisirs,1464269345,node,,cafe,33.5923666,-7.595596,,,,
restauration_loisirs,1464269346,node,,cafe,33.594621,-7.5934475,,,,
restauration_loisirs,1464269358,node,Sampione,cafe,33.5928563,-7.5971409,,,,
restauration_loisirs,1464269362,node,,cafe,33.5926705,-7.5961807,,,,
restauration_loisirs,1464269368,node,Mahboub محبوب,fast_food,33.5921991,-7.5923586,,,,
restauration_loisirs,1464269385,node,Snack Essaada,fast_food,33.5936543,-7.5974637,Boulevard Émile Zola,Casablanca,,
restauration_loisirs,1464269393,node,Paradisio,restaurant,33.5938278,-7.5969183,Boulevard Émile Zola,,,
restauration_loisirs,1464276479,node,,cafe,33.5920315,-7.5973448,,,,
restauration_loisirs,1464276497,node,,cafe,33.592036,-7.5975808,,,,
restauration_loisirs,1464276499,node,Théâtre Mohammed VI,theatre,33.5914953,-7.5970605,,,,
restauration_loisirs,1464579525,node,,cafe,33.5916786,-7.5917569,,,,
restauration_loisirs,1464579534,node,,cafe,33.5921344,-7.6002863,,,,
restauration_loisirs,1464579544,node,,fast_food,33.5905168,-7.5955656,,,,
restauration_loisirs,1464579548,node,Boustane,hotel,33.5904363,-7.5956407,Rue Mohammed ben radi slaoui,,,
restauration_loisirs,1464579550,node,,cafe,33.5909904,-7.5975933,,,,
restauration_loisirs,1464579551,node,,cafe,33.5915356,-7.5918427,,,,
restauration_loisirs,1464579556,node,,cafe,33.5914194,-7.59195,,,,
restauration_loisirs,1464579558,node,Venezia Ice,cafe,33.5944312,-7.5954315,,,,
restauration_loisirs,1464579567,node,,cafe,33.5906061,-7.595469,,,,
restauration_loisirs,1464579570,node,,cafe,33.5910262,-7.5924971,,,,
restauration_loisirs,1464579572,node,Hôtel & Spa Impérial Casablanca,hotel,33.593771,-7.6060779,Boulevard Moulay Youssef,,,https://www.hotelimperialcasablanca.com/
restauration_loisirs,1464579583,node,Alhana,cafe,33.5900564,-7.5931006,,,,
restauration_loisirs,1464579591,node,Café de la gare,cafe,33.5899952,-7.5905952,,,,
restauration_loisirs,1464579592,node,,cafe,33.5909815,-7.591435,,,,
restauration_loisirs,1464579602,node,Bellevue,cafe,33.5906508,-7.5928083,,,,
restauration_loisirs,1464587471,node,Hotel Val d'Anfa,hotel,33.5917103,-7.6777683,,,,
restauration_loisirs,1746921486,node,Jus Bordeaux,cafe,33.5969487,-7.6279619,,,,
restauration_loisirs,1746921504,node,Monsieur Brochette,fast_food,33.5949185,-7.6271531,,,,
restauration_loisirs,1746925524,node,Mamelouk Café,restaurant,33.5962988,-7.6304773,,,,
restauration_loisirs,1746934346,node,Café Splendeur,cafe,33.5962469,-7.6313052,Boulevard Ziraoui شارع الزيراوي,,,
restauration_loisirs,1867119561,node,Luigi,restaurant,33.5882356,-7.6398452,Rue Ibnou Yaala Al Ifrani زنقة ابن يعلى الإفراني,,+212 5 22 39 02 71,https://luigi.ma/
restauration_loisirs,1875063746,node,Restaurant grillades au top,cafe,33.5111856,-7.6105369,,,,
restauration_loisirs,1875063779,node,,cafe,33.5102423,-7.6078169,,,,
restauration_loisirs,1875063812,node,,restaurant,33.5109396,-7.6103706,,,,
restauration_loisirs,1875063883,node,,restaurant,33.5100315,-7.6077605,,,,
restauration_loisirs,2009477167,node,Alba Fast Food,fast_food,33.5930113,-7.6171532,,,,
restauration_loisirs,2009477168,node,Cafe Black Stone,cafe,33.5951697,-7.610295,,,,
restauration_loisirs,2009477169,node,Hôtel Moroccan House,hotel,33.5960343,-7.6091804,,,+212 5 22 54 35 66,
restauration_loisirs,2038386855,node,Café Ghandi,cafe,33.5656336,-7.6379599,,,,
restauration_loisirs,2102250048,node,Don Camilo,restaurant,33.587649,-7.612959,Rue Abou Rakrak,Casablanca,,
restauration_loisirs,2119486596,node,Rick's Cafe,restaurant,33.604995,-7.620406,Boulevard Sour Jdid,Casablanca,+212 522 27 42 07,https://www.rickscafe.ma/
restauration_loisirs,2140793927,node,ماكدونالدز,fast_food,33.594793,-7.6331748,Boulevard Ziraoui,Casablanca,,
restauration_loisirs,2201171514,node,Hôtel Business,hotel,33.5820342,-7.6233271,,,,
restauration_loisirs,2207627567,node,Hôtel Azur,hotel,33.595557,-7.6772198,Boulevard de la Corniche,Casablanca,,
restauration_loisirs,2250923969,node,Restaurant du Port,restaurant,33.6015279,-7.6144679,,,,
restauration_loisirs,2361342681,node,Casablanca Sweet Home Maarif,hotel,33.583255,-7.6391836,,,,
restauration_loisirs,2382656390,node,Lugano Glacier,cafe,33.5942402,-7.6376222,,,,
restauration_loisirs,2382672194,node,Café Galatina,cafe,33.5100873,-7.6507181,,,,
