category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website
sante,530761730,node,,pharmacy,33.5821087,-7.6265575,,,,
sante,1184208721,node,khalid ibn oualid,pharmacy,33.6000497,-7.5450991,,,,
sante,1307904337,node,pharmacie wifak,pharmacy,33.5598715,-7.6919901,,,,
sante,1307904346,node,Pharmacie Ahmed,pharmacy,33.5574213,-7.6902715,,,,
sante,1414740269,node,,pharmacy,33.5545488,-7.6399358,,,,
sante,1414743905,node,Dalal,pharmacy,33.5545398,-7.6360392,Rue de Vanneaux,,,
sante,1464276498,node,Pharmacie du conseil,pharmacy,33.5920672,-7.5950193,Boulevards Mohammed 5,,,
sante,1464579561,node,,pharmacy,33.5941095,-7.5965151,,,,
sante,1512083780,node,,pharmacy,33.5637163,-7.6355448,,,,
sante,1746921493,node,,pharmacy,33.5959681,-7.6276825,,,,
sante,2207627543,node,,pharmacy,33.6034834,-7.6424795,,,,
sante,2382672190,node,Pharmacie al Adarissa,pharmacy,33.5111741,-7.6482559,,,,
sante,2529315376,node,Pharmacie Lahraouine صيدلية الهراويين,pharmacy,33.5606836,-7.5527375,,,,
sante,2529315380,node,Pharmacie le Théâtre صيدلية المسرح,pharmacy,33.5633186,-7.5543957,,,,
sante,2711741030,node,Pharmacie des Prêles,pharmacy,33.5778147,-7.6394176,Rue Brahim Nakhai,,,
sante,2711741038,node,Pharmacie des Stades صيدلية الملاعب,pharmacy,33.5802204,-7.6404866,Rue Al Fourate زنقة الفرات,,,
sante,2714699183,node,Pharmacie Moulay Youssef,pharmacy,33.5984096,-7.632475,,,,
sante,2714951127,node,Clinique Badr مصحة بدر,clinic,33.5948697,-7.6410981,,,,
sante,2714951128,node,clinique dentaire casablanca (cdc),clinic,33.5874104,-7.6482094,,,,
sante,2777458153,node,M. Noubriq,dentist,33.6014374,-7.6330638,Rue Boukraâ,,,
sante,2777458170,node,Pharmacie Tamaârouft,pharmacy,33.599213,-7.6354406,,,,
sante,2879158752,node,Dr. Lahlou Abdelali,doctors,33.5905206,-7.6381445,Boulevard d'Anfa شارع أنفا,,,
