category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website
transports_diffus,21038927,node,Marjane Drissia M6,bus_stop,33.5618694,-7.5946468,,,,
transports_diffus,21045074,node,Usine de Thé,bus_stop,33.6013266,-7.5161146,,,,
transports_diffus,26268470,node,Sakani,bus_stop,33.6036527,-7.4821131,,,,
transports_diffus,279302232,node,Résidence El Hamd,bus_stop,33.5573105,-7.5424947,,,,
transports_diffus,332057865,node,Groupe Scolaire La Fourmilière,bus_stop,33.5805828,-7.665272,,,,
transports_diffus,332063285,node,Ecole De Sidi Abderrahmane,bus_stop,33.5715587,-7.7001061,,,,
transports_diffus,332063371,node,Morocco Mall,bus_stop,33.5799628,-7.7031792,,,,
transports_diffus,332068934,node,Mâarif Extension,bus_stop,33.5638275,-7.6291124,,,,
transports_diffus,332202617,node,École Normale Supérieure,bus_stop,33.5386784,-7.6613019,,,,
transports_diffus,334649216,node,Consulat Espagne,bus_stop,33.5907025,-7.6253857,,,,
transports_diffus,408425279,node,Lycée Lahlou,bus_stop,33.5720676,-7.6225633,,,,
transports_diffus,409089229,node,Cité de l'Air,bus_stop,33.5694128,-7.6615753,,,,
transports_diffus,424052421,node,Lycée Ziriab,bus_stop,33.581476,-7.6523717,,,,
transports_diffus,424092786,node,APAEI,bus_stop,33.5803961,-7.6322308,,,,
transports_diffus,424092789,node,Ibn Chahid,bus_stop,33.5784212,-7.6329221,,,,
transports_diffus,424093251,node,Consulat de Russie,bus_stop,33.5780093,-7.62939,,,,
transports_diffus,428467762,node,Cour d'Appel,bus_stop,33.5953201,-7.6033515,,,,
transports_diffus,428473247,node,Quartier Hôpitaux,bus_stop,33.5771511,-7.6244165,,,,
transports_diffus,428474227,node,Marché des Fleurs,bus_stop,33.5827845,-7.6203388,,,,
transports_diffus,428476505,node,Lycée Mohammed V,bus_stop,33.5782737,-7.6153391,,,,
transports_diffus,428476632,node,Mosquée El Hoda,bus_stop,33.5695547,-7.6122657,,,,
transports_diffus,428587309,node,OFPPT Bahmad,bus_stop,33.5878073,-7.5938241,,,,
transports_diffus,428612131,node,Derb Milan,bus_stop,33.5708571,-7.5812393,,,,
transports_diffus,428617477,node,Forêt Verte,bus_stop,33.5686181,-7.5340795,,,,
transports_diffus,428625808,node,Dior Chaâbi,bus_stop,33.5971796,-7.5514363,,,,
transports_diffus,428625814,node,Carr. Zaraba,bus_stop,33.5952845,-7.557026,,,,
transports_diffus,428638620,node,Rue des Pommes d'Or,bus_stop,33.5497662,-7.6201432,,,,
transports_diffus,428932530,node,Espace La Pause,bus_stop,33.5618496,-7.57223,,,,
transports_diffus,429316353,node,Terminus Daouliz,bus_stop,33.6026601,-7.6593428,,,,
transports_diffus,429316559,node,Clinique Ben Souda,bus_stop,33.5859775,-7.6522958,,,,
transports_diffus,429317114,node,OFPPT El Hank,bus_stop,33.6030877,-7.6470041,,,,
transports_diffus,455457741,node,Chemicals El Madina,bus_stop,33.5474318,-7.4535646,,,,
transports_diffus,455489570,node,Ain Sbaâ,bus_stop,33.6136278,-7.5348089,,,,
transports_diffus,455496249,node,Terminus Harbil,bus_stop,33.6340052,-7.490546,,,,
transports_diffus,455496254,node,Mosquee Q. Industriel,bus_stop,33.6299668,-7.4968836,,,,
transports_diffus,455500366,node,Âin Harrouda Centre,bus_stop,33.6348301,-7.4520468,,,,
transports_diffus,455500473,node,Groupe Scolaire Kamel,bus_stop,33.6148434,-7.491263,,,,
transports_diffus,455500484,node,Terminus Mansouria,bus_stop,33.6187896,-7.479386,,,,
transports_diffus,455502211,node,Groupe Scolaire Elbayda,bus_stop,33.6213201,-7.4849711,,,,
transports_diffus,455730462,node,Royal Golf Anfa,bus_stop,33.583643,-7.6579186,,,,
transports_diffus,456479907,node,Terminus Mâarif Oliverie,bus_stop,33.5858762,-7.6405736,,,,
transports_diffus,456510091,node,Derb Foukara,bus_stop,33.5663132,-7.6073706,,,,
transports_diffus,456519354,node,Bni M'guild,bus_stop,33.5712119,-7.6047277,,,,
transports_diffus,456526084,node,Sorexi,bus_stop,33.5888412,-7.5885401,,,,
transports_diffus,456526092,node,École Le Nid,bus_stop,33.5865975,-7.5862514,,,,
transports_diffus,457853994,node,Clinique CNSS Bernoussi,bus_stop,33.6111443,-7.5015673,,,,
transports_diffus,457854022,node,Moutana Ibn Harita,bus_stop,33.6051892,-7.509281,,,,
transports_diffus,457930600,node,Café Gattoss,bus_stop,33.6227138,-7.4826631,,,,
transports_diffus,458736828,node,Kodia,bus_stop,33.5859145,-7.5569598,,,,
transports_diffus,458736876,node,Maroc Bureau,bus_stop,33.5987585,-7.5205635,,,,
transports_diffus,458761367,node,Cté Police Bernoussi,bus_stop,33.6028232,-7.5196553,,,,
transports_diffus,458761729,node,Oulmess,bus_stop,33.571711,-7.6479493,,,,
transports_diffus,458761792,node,Café Kairaouan,bus_stop,33.5605295,-7.6751305,,,,
transports_diffus,458763059,node,Douar Mzab,bus_stop,33.5717633,-7.4824534,,,,
transports_diffus,459446230,node,Droguerie Dakhla,bus_stop,33.5446397,-7.6858193,,,,
transports_diffus,459460393,node,Commissariat Azhar,bus_stop,33.6026583,-7.4916523,,,,
transports_diffus,459487392,node,Hay Bournazil,bus_stop,33.5699904,-7.557857,,,,
transports_diffus,459488695,node,Résidences Salma,bus_stop,33.5489446,-7.5547164,,,,
transports_diffus,459703621,node,H.E.M.,bus_stop,33.5307152,-7.6219456,,,,
transports_diffus,459751806,node,Café Grill Antik,bus_stop,33.5322269,-7.6161548,,,,
transports_diffus,459773155,node,Centre Feminin,bus_stop,33.5617786,-7.6020285,,,,
transports_diffus,459996464,node,Carrefour,bus_stop,33.5738188,-7.6446827,,,,
transports_diffus,460013217,node,École Frères Safa,bus_stop,33.5522955,-7.5839093,,,,
transports_diffus,460013658,node,Doha,bus_stop,33.5909374,-7.5175201,,,,
transports_diffus,460021258,node,Oued Nassim,bus_stop,33.5222697,-7.6652517,,,,
transports_diffus,460021271,node,Mosquée Nassim,bus_stop,33.519713,-7.6614455,,,,
transports_diffus,460028053,node,Hammam Nekhla,bus_stop,33.5689214,-7.6534053,,,,
transports_diffus,474996258,node,Clinique Val Anfa,bus_stop,33.5901365,-7.6530259,,,,
transports_diffus,760382902,node,Terminus Tit Mellil,bus_stop,33.550973,-7.4861668,,,,
transports_diffus,760382956,node,Groupe Zina,bus_stop,33.5541823,-7.478627,,,,
transports_diffus,796509414,node,,parking,33.5959558,-7.678301,,,,
transports_diffus,1122269283,node,Angle Oum Rabia/Naciri,bus_stop,33.5611302,-7.6693453,,,,
transports_diffus,1123540162,node,Terminus Mosquée Ferrara,bus_stop,33.5550639,-7.6857267,,,,
transports_diffus,1129440771,node,St-Vélodrome,bus_stop,33.5904918,-7.646068,,,,
transports_diffus,1129440800,node,Vélodrome,bus_stop,33.5883744,-7.6451825,,,,
transports_diffus,1130779580,node,Hassan II,bus_stop,33.5825027,-7.6239147,,,,
transports_diffus,1130782943,node,Mers Sultan,bus_stop,33.5853397,-7.6162409,,,,
transports_diffus,1246675430,node,,parking,33.5998733,-7.6176299,,,,
transports_diffus,1246675487,node,,parking,33.6003187,-7.6179842,,,,
transports_diffus,1261487479,node,Pasteur,bus_stop,33.5741377,-7.6256766,,,,
transports_diffus,1326431614,node,Lotissement Saklia,bus_stop,33.565401,-7.6941894,,,,
transports_diffus,1414114263,node,Derb Kabir,bus_stop,33.5723367,-7.5954791,,,,
transports_diffus,1414545740,node,IPUT,bus_stop,33.5597248,-7.6009332,,,,
transports_diffus,1414545752,node,Koréa,bus_stop,33.5617479,-7.5984382,,,,
transports_diffus,1414604443,node,Café Idouar Ice,bus_stop,33.5339099,-7.6128934,,,,
transports_diffus,1414604460,node,Renault Qods,bus_stop,33.5348742,-7.6097557,,,,
transports_diffus,1414604473,node,Pharmacie Omaria,bus_stop,33.5365367,-7.6018545,,,,
transports_diffus,1414604477,node,École Bab Andalou,bus_stop,33.5367652,-7.606317,,,,
transports_diffus,1415476513,node,Mekanssa,bus_stop,33.5328541,-7.5842987,,,,
transports_diffus,1415476689,node,Café Achkid,bus_stop,33.5409688,-7.580021,,,,
transports_diffus,1415538924,node,Oilibya (Mohammed VI),bus_stop,33.5465372,-7.5843855,,,,
transports_diffus,1416772849,node,Hay El Masjid,bus_stop,33.5623115,-7.6072607,,,,
transports_diffus,1416772853,node,Hay El Masjid,bus_stop,33.562539,-7.6072768,,,,
transports_diffus,1416772901,node,Pharmacie Aicha,bus_stop,33.5634163,-7.6012699,,,,
transports_diffus,1447932135,node,Rond Point Merchich,bus_stop,33.4529122,-7.5207928,,,,
transports_diffus,1464276480,node,Shell شل,fuel,33.593057,-7.598525,,,,
