Code Zone,Zone,Arrondissement
CC-AN3,"La Corniche : de Hôtel le Littoral à Anfa Place, Rce Anfa",Anfa
CC-AN11,Zone délimité par Bd Kennedy et Bd Driss Slaoui ex Temara : de Quartier Dawliz à Quartier Val d'Anfa,Anfa
CC-AN12,"Quartier Racine Extension, Hay Lopez",Anfa
CC-AN8,"Quartier Racine Ouest délimité par Bd Ain Taoujtate, Bd Zerktouni, Bd Anfa, Bd Mly Rachid, Rue Abou Ali Ben Rahal et Rue Bab Al Irfane",Anfa
CC-AN9,"El Hank Nord délimité par Av. Tantan (ZI), Quartier Forces Auxiliaires",Anfa
CC-MA30,Rue Ali Abderrazak,Maârif
CC-MA31,Rce Yasmina,Maârif
CC-AN16,Bd Mohamed Zerktouni (de Bd Ain Taoujtate à Bd 2 Mars),Anfa
CC-AN7,"Quartier Bourgogne Ouest, Hay Tassahoul Sud",Anfa
CC-MA29,"Triangle délimité par Bd Bir Anzarane, Bd Abdelkrim Al Khattabi - Bd Anfa et Rue Normandie : Quartier Racine Sud",Maârif
CC-MA23,"Hippodrome : Triangle délimité par Bd Ibn Sina, Bd Abdelkrim Al Khattabi et Bd Ghandi",Maârif
CC-AN14,Ain Diab,Anfa
CC-AN15,"Anfa Place, Mégarama",Anfa
CC-AN4,"Zone délimitée par Av. A - Club de la SODEP (Sud), Rte Jorf Al Asfar (Ouest), Bd de la Grande Corniche (Nord) et Bd Abdelhadi Boutaleb ex Rte d'Azemmour (Est) : Lot Baâlabaq, Quartier Manzah, Lot Salaj, Quartier Hamria, Quartier Zemmouria, Quartier ONE, Quartier Ambar",Anfa
CC-MA32,Bd Mohamed Zerktouni (de Bd Ain Taoujtate à Bd 2 Mars),Maârif
CC-MA3,Bd Al Massira Al Khadra,Maârif
CC-AN5,"Zone délimitée par Rte de Sidi Abderrahman (Sud), Bd de l'Océan Atlantique (Ouest), Bd de la Grande Corniche (Nord) et Rte Jorf Al Asfar - Club de la SODEP - Av. A - Bd Abdelhadi Boutaleb ex Rte d'Azemmour (Est) : Rce Rio, Lot/Rce la Côte, Lot Al Mountazah, Lot Sindibad, Lot Le Boulard, Lot Hamza, Rce Salsabila, Quartier Doha, Rce Sofia, Lot Mçalla, Lot Yasmine, Rce Orée du Parc, Rce Puento Romano",Anfa
CC-AN6,"Zone délimitée par Ayn Al Gaddid (Sud), Océan Atlantique (Ouest), Rte Sidi Abderrahman (Nord) et Bd Abdelhadi Boutaleb ex Rte d'Azemmour (Est) : Morocco Mall, Plage Mme Choual",Anfa
CC-MA27,"Quartier Palmiers délimité par Bd Zerktouni, Bd Abdelmoumen, Rue Soummiya et Bd Roudani",Maârif
CC-SB22,Bd Mohamed Zerktouni (de Bd Ain Taoujtate à Bd 2 Mars),Sidi Belyout
