Code Zone,lat,lng
CC-SB1,33.6057698,-7.6290611
CC-SB2,33.5869623,-7.6215965
CC-SB3,33.5967566,-7.5964595
CC-SB4,33.6057698,-7.6290611
CC-SB5,33.6057698,-7.6290611
CC-SB6,33.594162,-7.6108473
CC-SB7,33.6057698,-7.6290611
CC-SB8,33.5907065,-7.6212303
CC-SB9,33.5951287,-7.6330441
CC-SB10,33.5881538,-7.6125987
CC-SB11,33.6057698,-7.6290611
CC-SB12,33.6057698,-7.6290611
CC-SB13,33.6057698,-7.6290611
CC-SB14,33.6057698,-7.6290611
CC-SB15,33.6057698,-7.6290611
CC-SB16,33.6057698,-7.6290611
CC-SB17,33.6057698,-7.6290611
CC-SB18,33.6057698,-7.6290611
CC-SB19,33.6059185,-7.6207842
CC-SB20,33.6057698,-7.6290611
CC-SB21,33.6057698,-7.6290611
CC-SB22,33.5830575,-7.615788
CC-SB23,33.6057698,-7.6290611
CC-AN1,33.59536,-7.6394317
CC-AN2,33.5960913,-7.6668325
CC-AN3,33.5945144,-7.6200284
CC-AN4,33.5945144,-7.6200284
CC-AN5,33.5945144,-7.6200284
CC-AN6,33.5945144,-7.6200284
CC-AN7,33.5945144,-7.6200284
CC-AN8,33.5945144,-7.6200284
CC-AN9,33.5945144,-7.6200284
CC-AN10,33.5945144,-7.6200284
CC-AN11,33.5945144,-7.6200284
CC-AN12,33.5945144,-7.6200284
CC-AN13,33.5890411,-7.6638742
CC-AN14,33.5811626,-7.6843877
CC-AN15,33.598333,-7.6642509
CC-AN16,33.6005591,-7.6391406
CC-MA1,33.5795673,-7.6151744
CC-MA2,33.5813893,-7.6242167
CC-MA3,33.5869593,-7.632345
CC-MA4,33.5633734,-7.6277594
CC-MA5,33.5836296,-7.6367005
CC-MA7,33.5836296,-7.6367005
CC-MA9,33.5836296,-7.6367005
CC-MA11,33.5836296,-7.6367005
CC-MA12,33.5836296,-7.6367005
CC-MA13,33.5811427,-7.6431756
CC-MA14,33.5836296,-7.6367005
CC-MA15,33.5836296,-7.6367005
