quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude
Ain Diab Extension,Villa,26341.0,Bon état,205,33.598,-7.701
Oasis,Villa,19646.0,Bon état,649,33.564,-7.6223
Les Princesses,Duplex,13587.0,Bon état,184,33.582,-7.638
Ain Sebaa,Appartement,11405.0,Bon état,93,33.606,-7.544
Ain Diab Extension,Appartement,13725.0,Bon état,204,33.598,-7.701
Beausejour,Appartement,11538.0,Neuf,169,33.591,-7.6251
Roches Noires,Appartement,11026.0,Bon état,78,33.6001,-7.5711
Ain Sebaa,Appartement,12500.0,Bon état,88,33.606,-7.544
Ain Diab,Appartement,28866.0,Bon état,194,33.5955,-7.684
Les Princesses,Studio,21818.0,Bon état,55,33.582,-7.638
Sidi Moumen,Appartement,7755.0,Neuf,98,33.5895,-7.5178
Maarif Extension,Appartement,17127.0,Bon état,181,33.578,-7.6419
Racine,Villa,14685.0,Bon état,286,33.587,-7.6386
Oasis,Appartement,21818.0,Neuf,55,33.564,-7.6223
Palmier,Appartement,21429.0,Neuf,56,33.5784,-7.625
Palmier,Appartement,21636.0,Bon état,55,33.5784,-7.625
Gauthier,Appartement,28358.0,Neuf,67,33.5894,-7.6323
Gauthier,Studio,27119.0,Neuf,59,33.5894,-7.6323
Ferme Bretonne,Appartement,18224.0,Bon état,107,33.549,-7.5944
Oulfa,Appartement,10526.0,Bon état,76,33.5368,-7.6572
Oulfa,Appartement,9722.0,Recent,144,33.5368,-7.6572
Ain Diab Extension,Villa,19424.0,Bon état,278,33.598,-7.701
Ain Sebaa,Appartement,11441.0,Bon état,88,33.606,-7.544
Ain Diab Extension,Appartement,14286.0,Bon état,217,33.598,-7.701
Beausejour,Duplex,12364.0,Neuf,129,33.591,-7.6251
Bourgogne Ouest,Appartement,17391.0,Bon état,115,33.5895,-7.6156
Ain Sebaa,Appartement,14750.0,Bon état,80,33.606,-7.544
Riviera,Appartement,18901.0,Bon état,81,33.5937,-7.6716
Sidi Moumen,Appartement,7647.0,Bon état,85,33.5895,-7.5178
Bourgogne Est,Appartement,25349.0,Bon état,86,33.589,-7.6113
Palmier,Appartement,15625.0,Neuf,80,33.5784,-7.625
Anfa,Appartement,15714.0,Bon état,70,33.5892,-7.6554
Maarif,Appartement,12222.0,Bon état,90,33.578,-7.63
Belvedere,Appartement,12602.0,Bon état,123,33.5901,-7.5939
Belvedere,Studio,15455.0,Bon état,55,33.5901,-7.5939
Les Princesses,Studio,25000.0,Bon état,54,33.582,-7.638
Oasis,Studio,25000.0,Bon état,50,33.564,-7.6223
Bourgogne Ouest,Studio,23214.0,Bon état,56,33.5895,-7.6156
Oasis,Appartement,25000.0,Bon état,54,33.564,-7.6223
Mers Sultan,Appartement,12381.0,Bon état,105,33.5921,-7.6024
Les Princesses,Appartement,12800.0,Bon état,250,33.582,-7.638
Sidi Maarouf,Appartement,10541.0,Bon état,74,33.5433,-7.6578
Bourgogne Ouest,Studio,26750.0,Bon état,28,33.5895,-7.6156
Bourgogne Ouest,Appartement,12000.0,Bon état,100,33.5895,-7.6156
Ain Diab Extension,Maison,23913.0,Bon état,230,33.598,-7.701
Ain Sebaa,Appartement,13284.0,Bon état,77,33.606,-7.544
Ain Diab Extension,Appartement,13148.0,Bon état,270,33.598,-7.701
Bourgogne Ouest,Studio,23684.0,Bon état,57,33.5895,-7.6156
Les Princesses,Studio,26250.0,Bon état,48,33.582,-7.638
Oasis,Appartement,17188.0,Bon état,80,33.564,-7.6223
Anfa,Studio,21429.0,Bon état,42,33.5892,-7.6554
Californie,Villa,52006.0,Bon état,673,33.5731,-7.6298
Ain Sebaa,Appartement,11111.0,Bon état,144,33.606,-7.544
Riviera,Studio,23224.0,Neuf,58,33.5937,-7.6716
Sidi Moumen,Appartement,7586.0,Bon état,87,33.5895,-7.5178
Bourgogne Ouest,Appartement,14815.0,Bon état,189,33.5895,-7.6156
Racine,Appartement,19136.0,Bon état,162,33.587,-7.6386
Racine,Appartement,17114.0,Bon état,149,33.587,-7.6386
Les Hopitaux,Appartement,12687.0,Bon état,134,33.584,-7.598
Beausejour,Appartement,11890.0,Bon état,164,33.591,-7.6251
Maarif Extension,Appartement,14045.0,Bon état,89,33.578,-7.6419
Gauthier,Appartement,25128.0,Neuf,39,33.5894,-7.6323
Maarif Extension,Appartement,11905.0,Bon état,126,33.578,-7.6419
Mers Sultan,Appartement,10902.0,A renover,133,33.5921,-7.6024
Ain Sebaa,Appartement,8667.0,Bon état,75,33.606,-7.544
Ain Diab Extension,Appartement,21164.0,Bon état,189,33.598,-7.701
Mers Sultan,Appartement,11200.0,Bon état,122,33.5921,-7.6024
Ferme Bretonne,Appartement,17219.0,Bon état,151,33.549,-7.5944
Bernoussi,Appartement,8738.0,Bon état,103,33.6058,-7.5341
Ain Diab Extension,Appartement,14609.0,Bon état,115,33.598,-7.701
Ain Diab Extension,Villa,21401.0,Bon état,257,33.598,-7.701
Ain Sebaa,Appartement,9754.0,Bon état,88,33.606,-7.544
Ain Diab Extension,Appartement,13148.0,Bon état,270,33.598,-7.701
Oasis,Studio,22800.0,Bon état,50,33.564,-7.6223
Les Princesses,Studio,25000.0,Bon état,45,33.582,-7.638
Palmier,Studio,21429.0,Bon état,56,33.5784,-7.625
Les Princesses,Studio,28444.0,Bon état,45,33.582,-7.638
Les Princesses,Studio,26429.0,Bon état,70,33.582,-7.638
Hay Hassani,Appartement,12546.0,Bon état,104,33.5559,-7.6694
Riviera,Appartement,20208.0,Bon état,77,33.5937,-7.6716
