Code Zone,lat,lng,distance_vol_oiseau_km,temps_voiture_estime_min,nb_arrets_bus_500m,nb_arrets_tramway_500m,nb_taxis_500m,nb_ecoles_1km,nb_hopitaux_2km,nb_cliniques_2km,nb_pharmacies_500m,nb_supermarches_500m,nb_epiceries_500m,nb_mosquees_500m,nb_banques_1km,nb_restaurants_500m
CC-SB1,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB2,33.5869623,-7.6215965,0.666,2.1,13,8,0,12,12,15,9,2,4,1,92,19
CC-SB3,33.5967566,-7.5964595,2.224,6.9,5,2,0,2,1,2,1,2,0,1,21,3
CC-SB4,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB5,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB6,33.594162,-7.6108473,0.861,2.7,3,8,0,8,5,7,9,2,3,1,82,66
CC-SB7,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB8,33.5907065,-7.6212303,0.259,0.8,15,5,1,13,11,10,9,1,2,0,94,26
CC-SB9,33.5951287,-7.6330441,1.236,3.9,14,0,0,16,6,12,4,3,6,0,62,16
CC-SB10,33.5881538,-7.6125987,0.858,2.7,11,7,0,17,8,7,15,8,9,2,106,21
CC-SB11,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB12,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB13,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB14,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB15,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB16,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB17,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB18,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB19,33.6059185,-7.6207842,1.461,4.6,6,0,0,3,3,5,0,0,0,0,4,6
CC-SB20,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB21,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-SB22,33.5830575,-7.615788,1.151,3.6,7,0,0,16,10,12,7,3,9,1,63,6
CC-SB23,33.6057698,-7.6290611,1.669,5.2,6,0,0,7,3,6,1,0,0,0,8,7
CC-AN1,33.59536,-7.6394317,1.822,5.7,6,0,0,21,5,14,3,5,4,0,47,14
CC-AN2,33.5960913,-7.6668325,4.353,13.6,2,0,0,2,1,7,1,1,0,1,1,3
CC-AN3,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN4,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN5,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN6,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN7,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN8,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN9,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN10,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN11,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN12,33.5945144,-7.6200284,0.191,0.6,14,2,1,9,7,10,9,1,2,0,76,24
CC-AN13,33.5890411,-7.6638742,4.085,12.7,0,0,0,3,2,10,0,0,0,0,1,0
CC-AN14,33.5811626,-7.6843877,6.103,19.0,0,0,0,7,1,3,0,0,0,0,2,0
CC-AN15,33.598333,-7.6642509,4.144,12.9,0,0,0,3,0,5,0,1,0,1,1,4
CC-AN16,33.6005591,-7.6391406,1.972,6.2,13,0,0,14,3,12,3,7,8,0,19,9
CC-MA1,33.5795673,-7.6151744,1.538,4.8,7,0,0,16,10,15,4,1,0,0,51,1
CC-MA2,33.5813893,-7.6242167,1.328,4.1,15,4,0,10,12,17,9,5,1,2,68,15
CC-MA3,33.5869593,-7.632345,1.315,4.1,9,0,0,14,14,18,6,8,3,1,93,36
CC-MA4,33.5633734,-7.6277594,3.35,10.5,10,2,0,13,15,20,5,0,0,2,15,1
CC-MA5,33.5836296,-7.6367005,1.853,5.8,14,0,0,20,11,19,10,2,15,2,83,23
