Rang,Code Zone,Zone,Arrondissement,Prix m² (DH),Score_Accessibilite,Score_Amenites,Score_Environnement,Score_Prestige,Score_Attractivite
1,CC-AN3,"La Corniche : de Hôtel le Littoral à Anfa Place, Rce Anfa",Anfa,26375.0,83.9,66.1,81.2,83.4,100.0
2,CC-AN11,Zone délimité par Bd Kennedy et Bd Driss Slaoui ex Temara : de Quartier Dawliz à Quartier Val d'Anfa,Anfa,16500.0,83.9,66.1,81.2,77.0,93.7
3,CC-AN12,"Quartier Racine Extension, Hay Lopez",Anfa,16000.0,83.9,66.1,81.2,76.7,93.4
4,CC-AN8,"Quartier Racine Ouest délimité par Bd Ain Taoujtate, Bd Zerktouni, Bd Anfa, Bd Mly Rachid, Rue Abou Ali Ben Rahal et Rue Bab Al Irfane",Anfa,21071.0,83.9,66.1,81.2,75.6,92.3
5,CC-AN9,"El Hank Nord délimité par Av. Tantan (ZI), Quartier Forces Auxiliaires",Anfa,22500.0,83.9,66.1,81.2,71.1,87.8
6,CC-MA30,Rue Ali Abderrazak,Maârif,28750.0,75.9,82.7,58.4,64.8,85.2
7,CC-MA31,Rce Yasmina,Maârif,45000.0,64.0,43.0,68.5,75.0,83.6
8,CC-AN16,Bd Mohamed Zerktouni (de Bd Ain Taoujtate à Bd 2 Mars),Anfa,42500.0,77.2,60.6,64.6,68.3,82.9
9,CC-AN7,"Quartier Bourgogne Ouest, Hay Tassahoul Sud",Anfa,15611.0,83.9,66.1,81.2,61.3,78.1
10,CC-MA29,"Triangle délimité par Bd Bir Anzarane, Bd Abdelkrim Al Khattabi - Bd Anfa et Rue Normandie : Quartier Racine Sud",Maârif,18300.0,75.9,82.7,58.4,57.5,78.0
11,CC-MA23,"Hippodrome : Triangle délimité par Bd Ibn Sina, Bd Abdelkrim Al Khattabi et Bd Ghandi",Maârif,19400.0,75.9,82.7,58.4,56.6,77.1
12,CC-AN14,Ain Diab,Anfa,17500.0,58.5,7.7,68.8,77.6,76.4
13,CC-AN15,"Anfa Place, Mégarama",Anfa,17500.0,60.6,3.7,75.3,77.6,75.5
14,CC-AN4,"Zone délimitée par Av. A - Club de la SODEP (Sud), Rte Jorf Al Asfar (Ouest), Bd de la Grande Corniche (Nord) et Bd Abdelhadi Boutaleb ex Rte d'Azemmour (Est) : Lot Baâlabaq, Quartier Manzah, Lot Salaj, Quartier Hamria, Quartier Zemmouria, Quartier ONE, Quartier Ambar",Anfa,13667.0,83.9,66.1,81.2,57.9,74.8
15,CC-MA32,Bd Mohamed Zerktouni (de Bd Ain Taoujtate à Bd 2 Mars),Maârif,28773.0,77.2,60.6,64.6,59.4,74.2
16,CC-MA3,Bd Al Massira Al Khadra,Maârif,30800.0,79.8,66.5,64.8,57.5,74.1
17,CC-AN5,"Zone délimitée par Rte de Sidi Abderrahman (Sud), Bd de l'Océan Atlantique (Ouest), Bd de la Grande Corniche (Nord) et Rte Jorf Al Asfar - Club de la SODEP - Av. A - Bd Abdelhadi Boutaleb ex Rte d'Azemmour (Est) : Rce Rio, Lot/Rce la Côte, Lot Al Mountazah, Lot Sindibad, Lot Le Boulard, Lot Hamza, Rce Salsabila, Quartier Doha, Rce Sofia, Lot Mçalla, Lot Yasmine, Rce Orée du Parc, Rce Puento Romano",Anfa,14286.0,83.9,66.1,81.2,56.4,73.3
18,CC-AN6,"Zone délimitée par Ayn Al Gaddid (Sud), Océan Atlantique (Ouest), Rte Sidi Abderrahman (Nord) et Bd Abdelhadi Boutaleb ex Rte d'Azemmour (Est) : Morocco Mall, Plage Mme Choual",Anfa,13000.0,83.9,66.1,81.2,54.8,71.8
19,CC-MA27,"Quartier Palmiers délimité par Bd Zerktouni, Bd Abdelmoumen, Rue Soummiya et Bd Roudani",Maârif,22167.0,75.9,82.7,58.4,51.0,71.6
20,CC-SB22,Bd Mohamed Zerktouni (de Bd Ain Taoujtate à Bd 2 Mars),Sidi Belyout,40000.0,77.2,60.6,64.6,56.7,71.5
21,CC-SB17,"Quadruple délimité par Bd Zerktouni (Sud), Bd Anfa (Ouest), Bd Mly Youssef (Nord) et Bd Brahim Roudani (Est) : Quartier Gautier Sud-Est",Sidi Belyout,24900.0,69.2,19.1,63.9,65.5,68.5
22,CC-AN10,El Hank Sud délimité par Av. Tantan (Lot El Manar ZV),Anfa,15000.0,83.9,66.1,81.2,51.1,68.1
23,CC-SB19,"Marina de Casablanca, Grande Mosquée Hassan II",Sidi Belyout,23750.0,70.5,6.9,73.7,67.6,67.6
24,CC-MA12,"Lot Al Madaris (Ecoles), Quartier Bachkou, Quartier Yasmina",Maârif,20083.0,75.9,82.7,58.4,46.7,67.4
25,CC-MA28,"Quartier des Hôpitaux, Quartier des Hôpitaux Extension, Hay Raja, Tantonville Ouest délimité par Av. des Pléiades, Hermitage Ouest",Maârif,18900.0,75.9,82.7,58.4,46.6,67.2
26,CC-MA5,Bd Mly Idriss 1er,Maârif,21286.0,75.9,82.7,58.4,46.2,66.8
27,CC-SB21,"Zone délimitée par Bd Zerktouni (Sud), Bd Brahim Roudani (Ouest), Rue Ali Bnou Abi Talib - Rue Othman Ben Afan (Nord) et Bd Hassan II (Est) : Lycée Chawki et voisinage",Sidi Belyout,18600.0,69.2,19.1,63.9,63.6,66.6
28,CC-MA18,"Oasis Sud délimité par Bd Abderrahim Bouabid, Gare de L'Oasis",Maârif,19000.0,75.9,82.7,58.4,45.6,66.3
29,CC-SB5,Bd Anfa (de Bd Zerktouni à Place Oued El Makhazine),Sidi Belyout,24875.0,69.2,19.1,63.9,63.1,66.1
