Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CS-HH10,,,Immeubles construits,Construction à usage commercial,,*****,30000,Conservation_scrapee
CS-HH10,,,Immeubles construits,Construction à usage touristique,,*****,30000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Immeubles construits,Villa,,*****,13000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,25000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Immeubles construits,Villa (fermée et sécurisée),,*****,15000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 1000 m²,20000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 1000 m²,21000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 1000 m²,20000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,19000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,20000,,,,,,,,,CASA HAY HASSANI
CS-HH10,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,21000,,,,,,,,,CASA HAY HASSANI
