Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CE-BM1,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,12000,Conservation_scrapee
CE-BM1,,,Terrain nu,Terrain nu équipé,,*****,13000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,14000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,8000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,4500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,4000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,3500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,15000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,15000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,4000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,3500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,9500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Immeubles construits,Construction à usage commercial,,*****,11000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Immeubles construits,Construction à usage touristique,,*****,11000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Immeubles construits,Villa,,*****,6000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Immeubles construits,Villa (fermée et sécurisée),,*****,7000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-BM1,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,,*****,13000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,14000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,8000,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7500,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-BM1BIS,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA SIDI OTHMANE
