Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CE-CRH1,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,3500,Conservation_scrapee
CE-CRH1,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,4000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,4500,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,5000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,3000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,2500,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,2000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,3500,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,3000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,2500,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,2000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,5000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,4500,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,5000,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,4500,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 200 m²,2500,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 200 m²,1700,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 200 m²,1400,,,,,,,,,MEDYOUNA
CE-CRH1,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,1200,,,,,,,,,MEDYOUNA
