quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude,dist_tram_m,tram_500m,intersect_500m,tt_centre_min,tt_cfc_min,tt_maarif_min,tt_sidi_maarouf_min,tt_port_min,n_ecoles_500m,n_ecoles_1km,dist_ecole_m,n_banques_500m,n_banques_1km,dist_banque_m,n_malls_500m,n_malls_1km,dist_mall_m,dist_mer_m,dist_parc_m,n_parcs_1km,surface_verte_m2_1km,nuisance_route_500m,n_industries_500m,n_fuel_500m,haut standing,log_prix_m2,log_surface_m2
Ain Diab Extension,Villa,26341.0,Bon état,205,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,1,10.17888193964875,5.323009979138408
Oasis,Villa,19646.0,Bon état,649,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,0,9.885629034234816,6.47543271670409
Les Princesses,Duplex,13587.0,Bon état,184,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,9.516868732224324,5.214935757608986
Ain Sebaa,Appartement,11405.0,Bon état,93,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.341807134718488,4.532599493153256
Ain Diab Extension,Appartement,13725.0,Bon état,204,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.526974266377731,5.318119993844216
Beausejour,Appartement,11538.0,Neuf,169,33.591,-7.6251,425.3804669514898,1,331,1.8,20.7,4.2,18.7,8.9,5,19,115.9786843947549,18,88,120.0524350984131,1,2,194.9715314830628,1370.125624495474,185.5202413092544,7,305563.9,425.9,0,0,1,9.353401214816834,5.129898714923073
Roches Noires,Appartement,11026.0,Bon état,78,33.6001,-7.5711,965.0674461353242,0,82,14.4,34.0,19.2,29.6,8.8,0,0,1817.718081919226,1,2,433.5282232699337,0,0,2554.876575642303,938.1474814334251,151.5137400760343,6,59610.7,2072.5,0,0,0,9.30801139914963,4.356708826689592
Ain Sebaa,Appartement,12500.0,Bon état,88,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,1,9.433483923290392,4.477336814478207
Ain Diab,Appartement,28866.0,Bon état,194,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,1,10.27041971092751,5.267858159063328
Les Princesses,Studio,21818.0,Bon état,55,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,1,9.990490596157702,4.007333185232471
Sidi Moumen,Appartement,7755.0,Neuf,98,33.5895,-7.5178,1159.226632445389,0,135,29.3,45.7,33.5,40.2,24.6,0,2,841.9992581093699,4,6,167.352537206619,0,0,1973.08983975726,3824.806072287085,1270.958757491938,0,0.0,0.0,0,0,0,8.956093075610639,4.584967478670572
Maarif Extension,Appartement,17127.0,Bon état,181,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.748411444632369,5.198497031265826
Racine,Villa,14685.0,Bon état,286,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,1,9.59458184363272,5.655991810819852
Oasis,Appartement,21818.0,Neuf,55,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,0,9.990490596157702,4.007333185232471
Palmier,Appartement,21429.0,Neuf,56,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,0,9.972500423823082,4.02535169073515
Palmier,Appartement,21636.0,Bon état,55,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,0,9.982113872991318,4.007333185232471
Gauthier,Appartement,28358.0,Neuf,67,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,10.2526644562975,4.204692619390966
Gauthier,Studio,27119.0,Neuf,59,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,10.20798986821816,4.07753744390572
Ferme Bretonne,Appartement,18224.0,Bon état,107,33.549,-7.5944,682.2498354811139,0,452,15.8,20.6,15.7,14.5,20.1,1,10,402.6473591362682,9,24,309.9591411431054,0,1,896.6660164826084,5921.222724674229,289.6665405317857,13,92221.9,0.0,0,0,0,9.810494685686963,4.672828834461906
Oulfa,Appartement,10526.0,Bon état,76,33.5368,-7.6572,833.5040378000114,0,60,21.3,2.8,16.8,4.1,29.2,2,8,271.617575595435,0,3,635.7885927742001,0,0,1308.132165664691,6292.724234225559,1553.081495273229,0,0.0,3487.4,0,0,0,9.261603665913725,4.330733340286331
Oulfa,Appartement,9722.0,Recent,144,33.5368,-7.6572,833.5040378000114,0,60,21.3,2.8,16.8,4.1,29.2,2,8,271.617575595435,0,3,635.7885927742001,0,0,1308.132165664691,6292.724234225559,1553.081495273229,0,0.0,3487.4,0,0,0,9.1821466376054,4.969813299576001
Ain Diab Extension,Villa,19424.0,Bon état,278,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.874264693859224,5.627621113690637
Ain Sebaa,Appartement,11441.0,Bon état,88,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.344958673700944,4.477336814478207
Ain Diab Extension,Appartement,14286.0,Bon état,217,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.567035315714918,5.37989735354046
Beausejour,Duplex,12364.0,Neuf,129,33.591,-7.6251,425.3804669514898,1,331,1.8,20.7,4.2,18.7,8.9,5,19,115.9786843947549,18,88,120.0524350984131,1,2,194.9715314830628,1370.125624495474,185.5202413092544,7,305563.9,425.9,0,0,0,9.422544303252007,4.859812404361672
Bourgogne Ouest,Appartement,17391.0,Bon état,115,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,0,9.763708110007842,4.74493212836325
Ain Sebaa,Appartement,14750.0,Bon état,80,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.598998361767967,4.382026634673881
Riviera,Appartement,18901.0,Bon état,81,33.5937,-7.6716,1101.425349293884,0,265,15.2,18.2,12.0,20.5,21.0,0,0,1363.949070450422,3,9,365.318765817671,0,1,853.6519537741274,444.1214635841355,1578.831205494542,0,0.0,1234.2,0,0,0,9.846970109700957,4.394449154672439
Sidi Moumen,Appartement,7647.0,Bon état,85,33.5895,-7.5178,1159.226632445389,0,135,29.3,45.7,33.5,40.2,24.6,0,2,841.9992581093699,4,6,167.352537206619,0,0,1973.08983975726,3824.806072287085,1270.958757491938,0,0.0,0.0,0,0,0,8.942068693044225,4.442651256490317
Bourgogne Est,Appartement,25349.0,Bon état,86,33.589,-7.6113,263.0200187547561,1,245,2.3,22.7,6.9,19.5,6.9,3,24,273.4785291420873,31,107,65.19973859491108,0,2,652.4577986954109,1438.87228183092,731.610881689414,3,56027.1,0.0,0,1,1,10.14049456050949,4.454347296253507
Palmier,Appartement,15625.0,Neuf,80,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,0,9.656627474604603,4.382026634673881
Anfa,Appartement,15714.0,Bon état,70,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.662307313735766,4.248495242049359
