Préfecture,Arrondissement,Code Zone,Zone déchiffrée,Type de bien,État,Condition / Zonage,Prix Terrain au m² (DH),dist_education_min_m,dist_banque_min_m,dist_sante_min_m,dist_commerce_min_m,dist_transport_min_m,dist_environnement_min_m,nb_nuisance_500m,dist_nuisance_min_m,dist_autoroute_min_m,dist_voie_primaire_min_m,dist_voie_secondaire_min_m,dist_boulevard_principal,nb_axes_500m,dist_tram,nb_stations_1km,temps_transport_centre,temps_CFC,temps_Maarif,temps_SidiMaarouf,temps_port,nb_ecoles_1km,dist_ecole,densite_education,nb_sante_1km,dist_clinique,nb_restaurants_500m,nb_commerces_1km,nb_banques_1km,dist_mer,dist_parc,surface_verte_1km,nb_nuisance, Densite_pop_km2, Part_population_15_59_ans, Taille_de_ménage, Taux_activité, Taux_chômage, Part_salariés_parmi_actifs, Taux_analphabétisme, Part_population_niveau_études_supérieur, Taux_croissance
Casa-Anfa,Sidi Belyout,CC-SB1,Av. des FAR,Appartement,Ancien,,11000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB1,Av. des FAR,Appartement,Récent,,14000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB1,Av. des FAR,Appartement,Neuf,,16000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB1,Av. des FAR,Terrain ZI,Loti,< à R+10,32000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB1,Av. des FAR,Terrain ZI,Loti,>= à R+10,41000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB2,Av. Hassan II,Appartement,Ancien,,13500.0,347.0,129.0,54.0,65.0,55.0,117.0,1.0,472.0,1490.0,417.0,0.0,417.0,78.0,131.0,12.0,8.6,17.0,1.1,17.4,6.1,16.0,347.0,5.09,80.0,213.0,50.0,53.0,91.0,1654.0,117.0,366630.0,7.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB2,Av. Hassan II,Appartement,Récent,,15500.0,347.0,129.0,54.0,65.0,55.0,117.0,1.0,472.0,1490.0,417.0,0.0,417.0,78.0,131.0,12.0,8.6,17.0,1.1,17.4,6.1,16.0,347.0,5.09,80.0,213.0,50.0,53.0,91.0,1654.0,117.0,366630.0,7.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB2,Av. Hassan II,Appartement,Neuf,,17000.0,347.0,129.0,54.0,65.0,55.0,117.0,1.0,472.0,1490.0,417.0,0.0,417.0,78.0,131.0,12.0,8.6,17.0,1.1,17.4,6.1,16.0,347.0,5.09,80.0,213.0,50.0,53.0,91.0,1654.0,117.0,366630.0,7.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB2,Av. Hassan II,Terrain ZI,Loti,< à R+10,37000.0,347.0,129.0,54.0,65.0,55.0,117.0,1.0,472.0,1490.0,417.0,0.0,417.0,78.0,131.0,12.0,8.6,17.0,1.1,17.4,6.1,16.0,347.0,5.09,80.0,213.0,50.0,53.0,91.0,1654.0,117.0,366630.0,7.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB2,Av. Hassan II,Terrain ZI,Loti,>= à R+10,45000.0,347.0,129.0,54.0,65.0,55.0,117.0,1.0,472.0,1490.0,417.0,0.0,417.0,78.0,131.0,12.0,8.6,17.0,1.1,17.4,6.1,16.0,347.0,5.09,80.0,213.0,50.0,53.0,91.0,1654.0,117.0,366630.0,7.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Appartement,Ancien,,10000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Appartement,Ancien,,10000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Appartement,Récent,,12000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Appartement,Récent,,12000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Appartement,Neuf,,13000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Appartement,Neuf,,13000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Terrain ZI,Loti,<= à R+5,23000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Terrain ZI,Loti,<= à R+5,23000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Terrain ZI,Loti,> à R+5,26000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB3,Av. Pasteur,Terrain ZI,Loti,> à R+5,26000.0,461.0,284.0,294.0,269.0,251.0,389.0,8.0,77.0,839.0,0.0,243.0,0.0,52.0,427.0,12.0,7.0,22.9,7.7,21.6,4.0,2.0,461.0,0.64,9.0,830.0,13.0,8.0,24.0,691.0,413.0,74950.0,20.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Appartement,Ancien,,8000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Appartement,Ancien,,8000.0,237.0,96.0,123.0,69.0,109.0,59.0,7.0,30.0,958.0,394.0,108.0,394.0,48.0,109.0,17.0,6.0,22.3,7.5,20.7,4.8,2.0,237.0,0.64,12.0,545.0,32.0,14.0,28.0,1076.0,185.0,102672.0,30.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Appartement,Récent,,9500.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Appartement,Récent,,9500.0,237.0,96.0,123.0,69.0,109.0,59.0,7.0,30.0,958.0,394.0,108.0,394.0,48.0,109.0,17.0,6.0,22.3,7.5,20.7,4.8,2.0,237.0,0.64,12.0,545.0,32.0,14.0,28.0,1076.0,185.0,102672.0,30.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Appartement,Neuf,,11000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Appartement,Neuf,,11000.0,237.0,96.0,123.0,69.0,109.0,59.0,7.0,30.0,958.0,394.0,108.0,394.0,48.0,109.0,17.0,6.0,22.3,7.5,20.7,4.8,2.0,237.0,0.64,12.0,545.0,32.0,14.0,28.0,1076.0,185.0,102672.0,30.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Terrain ZI,Loti,<= à R+5,20000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Terrain ZI,Loti,<= à R+5,20000.0,237.0,96.0,123.0,69.0,109.0,59.0,7.0,30.0,958.0,394.0,108.0,394.0,48.0,109.0,17.0,6.0,22.3,7.5,20.7,4.8,2.0,237.0,0.64,12.0,545.0,32.0,14.0,28.0,1076.0,185.0,102672.0,30.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Terrain ZI,Loti,> à R+5,23000.0,112.0,8.0,457.0,26.0,30.0,148.0,2.0,204.0,231.0,253.0,424.0,253.0,23.0,1559.0,0.0,13.4,21.1,5.6,22.8,4.7,7.0,112.0,2.23,8.0,457.0,12.0,18.0,8.0,292.0,381.0,82703.0,9.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
Casa-Anfa,Sidi Belyout,CC-SB4,Bd Ambassadeur Ben Aicha,Terrain ZI,Loti,> à R+5,23000.0,237.0,96.0,123.0,69.0,109.0,59.0,7.0,30.0,958.0,394.0,108.0,394.0,48.0,109.0,17.0,6.0,22.3,7.5,20.7,4.8,2.0,237.0,0.64,12.0,545.0,32.0,14.0,28.0,1076.0,185.0,102672.0,30.0,13791,61.2,2.9,47.6,19.5,70.1,10.6,21.3,-27.1
