commune, Densite_pop_km2, Part_population_15_59_ans, Taille_de_ménage, Taux_activité, Taux_chômage, Part_salariés_parmi_actifs, Taux_analphabétisme, Part_population_niveau_études_supérieur, Taux_croissance
Anfa, 3995, 58.70, 3.0, 47.1, 14.3, 69.7, 8.2, 33.5, -29.9
Maârif, 11257, 61.00, 2.7, 50.1, 10.9, 72.1, 6.4, 39.8, -18.2
Sidi Belyout, 13791, 61.20, 2.9, 47.6, 19.5, 70.1, 10.6, 21.3, -27.1
Ben M'Sick, 33886, 61.00, 3.6, 42.2, 24.6, 62.9, 15.8, 11.6, -19.9
Sbata, 22209, 61.40, 3.8, 42.7, 22.2, 23.7, 13.1, 15.3, -12.6
Sidi Bernoussi, 12208, 61.60, 3.6, 45.4, 22.8, 73.5, 11.9, 16.7, -10.5
Sidi Moumen, 21018, 62.10, 3.9, 43.8, 18.6, 70.6, 13.3, 13, 21.3
Mly Rachid, 22842, 61.90, 3.9, 44, 22.5, 65.5, 16.2, 11, -0.1
Sidi Othman, 26420, 61.40, 3.8, 43.1, 22.5, 61.3, 17.4, 9.3, -3.7
Roches Noires, 14578, 61.00, 3.2, 45.8, 16.4, 76.5, 7.4, 29.8, -9.4
Hay Mohammadi, 24919, 60.70, 3.7, 41.6, 26.1, 70.8, 14.1, 12.6, -24.9
Ain Sebaâ, 10156, 61.90, 3.5, 45.5, 17.3, 76.7, 9.3, 22.8, -9.1
Al Fida, 33174, 61.00, 3.5, 43.9, 23.3, 64.9, 13.9, 13.6, -20.6
Mers Sultan, 26519, 60.80, 3.2, 45.6, 23.2, 62.6, 12.2, 18.8, -24.4
Ain Chock, 9514, 62.30, 3.7, 45.8, 16.6, 68.5, 11.1, 22.4, -0.8
Hay Hassani, 13170, 63.70, 3.4, 49.6, 16.6, 70.4, 11.5, 18.9, 14.7
