source,transaction,city,page,title,price_text,price_dh,surface_m2,price_m2,rooms,bedrooms,bathrooms,location,url,raw_text
mubawab,vente,Casablanca,1,Vente villa de luxe à Ain diab Extension,5 400 000 DH,5400000.0,205.0,26341.46,5.0,4.0,5.0,Ain diab Extension Ain Diab Extension,https://www.mubawab.ma/fr/pa/8273114/vente-villa-de-luxe-%C3%A0-ain-diab-extension,"5 400 000 DH Vente villa de luxe à Ain diab Extension Ain Diab Extension, Casablanca 205 m² 5 Pièces 4 Chambres 5 Salles de bains Jardin Piscine Concierge Antenne parabolique Climatisation Sécurité Cuisine équipée Anfa Heaven, projet d’exception signé Anfa Realties, est idéalement situé à Ain Diab Extension, à proximité immédiate du Morocco Mall. Cette résidence fermée et sécurisée offre un environnement paisible où élégance et confort se rencontrent. Elle propose trois typologies de villas aux volumes généreux, conçues pour offrir un art de vivre unique, dans lequel chaque détail a été pensé pour le bien-être des résidents. Au cœur du projet, plus... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Villa contemporaine à vendre sur l'Oasis 649 m²,12 750 000 DH,12750000.0,649.0,19645.61,8.0,5.0,4.0,,https://www.mubawab.ma/fr/a/8318438/villa-contemporaine-%C3%A0-vendre-sur-l-oasis-649-m%C2%B2,"12 750 000 DH Villa contemporaine à vendre sur l'Oasis 649 m² Oasis, Casablanca 649 m² 8 Pièces 5 Chambres 4 Salles de bains Jardin Terrasse Garage Piscine Chambre rangement Entre-seul Cheminée Climatisation Chauffage central Sécurité Double vitrage Cuisine équipée Four EXCLUSIVITÉ HOME FINDER Villa Contemporaine d’exception au cœur de l’Oasis Située dans l'une des rues les plus calmes du quartier de l'Oasis, découvrez cette magnifique villa moderne alliant élégance et confort absolu. Édifiée sur un terrain de 649 m², cette propriété parfaitement entretenue ne nécessite aucun travaux : une véritable opportunité ""clés en main"". Une distribution optimale sur 3 niveaux à raison de plus ou moins 500 m²: 1) Rez-d... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement à vendre Les princesses,2 500 000 DH,2500000.0,184.0,13586.96,2.0,3.0,3.0,vendre Les princesses Les princesses,https://www.mubawab.ma/fr/a/8258601/appartement-%C3%A0-vendre-les-princesses,"2 500 000 DH Appartement à vendre Les princesses Les princesses, Casablanca 184 m² 2 Pièces 3 Chambres 3 Salles de bains Terrasse Garage Ascenseur Salon Marocain Salon européen Cheminée Cuisine équipée Four Micro-ondes Ne laissez pas passer ce magnifique duplex entièrement rénové de 184 m² situé au 3ᵉ étage d’un immeuble bien entretenu, au cœur du quartier recherché Socrate à Casablanca. Idéal pour une famille souhaitant allier confort, praticité et belle localisation. Au niveau bas, vous profitez d’un agréable espace de vie composé d’un salon convivial et lumineux, ainsi que d’une cuisine fonctionnelle, offrant une vraie pièce à vivre pour la famille et les... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Next House Domaine d'Anfa,3 000 000 DH,3000000.0,82.0,36585.37,,4.0,3.0,,https://www.mubawab.ma/fr/p/4607/next-house-domaine-d-anfa,"Projet · 6 biens immobiliers IMMOBILIER NEUF Next House Domaine d'Anfa Le Domaine D'Anfa, Casablanca domaine d’anfa – une résidence d’exception au cœur de casablanca situé dans l’un des quartiers les plus prisés de casablanca, domaine d’anfa accueille une résidence signée next house, pensée pour une 4 Chambres 3 Salles de bains 82 m² 3 000 000 DH 4 Chambres 3 Salles de bains 151 m² 5 000 000 DH 4 Chambres 3 Salles de bains 82 m² 3 000 000 DH 2 Chambres 2 Salles de bains 61 m² 1 900 000 DH 2 Chambres 2 Salles de bains 61 m² 1 900 000 DH 4 Chambres 3 Salles de bains 151 m² 5 000 000 DH Haut standing En cours de construction Livraison: janvier 2028 En savoir plus"
mubawab,vente,Casablanca,1,Nozha Résidence à Ain Sebaâ _ Appartement 3 chambres Salon,1 060 620 DH,1060620.0,93.0,11404.52,4.0,3.0,2.0,,https://www.mubawab.ma/fr/pa/8137157/nozha-r%C3%A9sidence-%C3%A0-ain-seba%C3%A2-appartement-3-chambres-salon,"1 060 620 DH Nozha Résidence à Ain Sebaâ _ Appartement 3 chambres Salon Aïn Sebaâ, Casablanca 93 m² 4 Pièces 3 Chambres 2 Salles de bains Jardin Terrasse Garage Ascenseur Façade extérieure Salon Marocain Salon européen Climatisation Sécurité Cuisine équipée Four Nozha Ain Sebaâ est une fusion de confort moderne et de commodités à portée de main, où chaque détail facilite le quotidien. Une création qui répond aux besoins d’une clientèle nouvelle-génération, alliant vitalité de quartier et tranquillité chez soi. Nozha est une adresse colorée et animée, où l’architecture et les espaces publics accueillent la plus vivante des diversités. Situé sur 15 Ha, le long de la route côtière et en plein cœur du qua... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement à vendre à Ain Diab Extension. 3 chambres,2 800 000 DH,2800000.0,204.0,13725.49,,3.0,3.0,,https://www.mubawab.ma/fr/pa/8273098/appartement-%C3%A0-vendre-%C3%A0-ain-diab-extension-3-chambres,"2 800 000 DH Appartement à vendre à Ain Diab Extension. 3 chambres Ain Diab Extension, Casablanca 204 m² 3 Chambres 3 Salles de bains Anfa Heaven, projet résidentiel signé Anfa Realties, est idéalement situé à Ain Diab Extension, à seulement 2 km du Morocco Mall. Cette résidence fermée et sécurisée offre un cadre de vie paisible, alliant confort, élégance et sérénité. Le projet propose trois typologies d’appartements, pensées pour répondre à différents styles de vie : - Rez-de-jardin : des appartements ouverts sur des jardins privatifs, offrant intimité, luminosité et une con... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement meuble 3ch de 143m2 almaz,3 200 000 DH,3200000.0,143.0,22377.62,4.0,3.0,2.0,,https://www.mubawab.ma/fr/a/8300687/appartement-meuble-3ch-de-143m2-almaz,"3 200 000 DH Appartement meuble 3ch de 143m2 almaz Almaz, Casablanca 143 m² 4 Pièces 3 Chambres 2 Salles de bains Garage Ascenseur Piscine Concierge Meublé Cheminée Climatisation Sécurité Double vitrage Cuisine équipée Réfrigérateur Four Machine à laver À vendre : Superbe appartement de 3 chambres à HILLS GARDEN - Almaz Appartement vendu meublé. Ce bien de standing se compose de : - Un vaste salon avec cheminée luxueuse, lumineux et idéal pour recevoir. - Une belle cuisine toute équipée de mobilier haut de gamme . - Deux belles chambres confortables avec salle de bain attenante dans le couloir . - Une spacieuse suite parentale de 33 m2 avec dressing, salle de bain privative, meuble de ran... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appart neuf haut standing à 2mn du CFC,1 950 000 DH,1950000.0,169.0,11538.46,1.0,3.0,3.0,,https://www.mubawab.ma/fr/a/8339728/appart-neuf-haut-standing-%C3%A0-2mn-du-cfc,"1 950 000 DH Appart neuf haut standing à 2mn du CFC Beauséjour, Casablanca 169 m² 1 Pièce 3 Chambres 3 Salles de bains Terrasse Garage Ascenseur Salon Marocain Salon européen Antenne parabolique Climatisation Sécurité Double vitrage Cuisine équipée Four Apport neuf, Dans la rue de l’hôtel Eurostar, Haut standing situé à 2mn du CFC 1mn du CAF à 30 sdes de carrefour et bim et à 3mn du tram. Très bien agencé dans un immeuble haut standing 2 apparts par étage avec une finition marbre et parquet pour la suite parentale. Cuisine équipée, Clim installée, isolation phonique et thermique. Place titrée au garage, ascenseur, caméra de surveillance. Prix intéressant avec livraison immédiate Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Narjiss 2 - Appartements à vendre,310 000 DH,310000.0,,,,,,,https://www.mubawab.ma/fr/p/4564/narjiss-2-appartements-%C3%A0-vendre,"À partir de 310 000 DH IMMOBILIER NEUF Narjiss 2 - Appartements à vendre résidence narjiss 2 propose des appartements éligibles au nouveau programme d’aide au logement, ainsi que des locaux commerciaux de superficies variées, idéals pour développer ou investir dans une activité Bouskoura Ville, Bouskoura Économique En cours de construction En savoir plus"
mubawab,vente,Casablanca,1,Bel appartement bien fini 2 chambres 2SDB,860 000 DH,860000.0,78.0,11025.64,2.0,2.0,2.0,,https://www.mubawab.ma/fr/a/8333643/bel-appartement-bien-fini-2-chambres-2sdb,"860 000 DH Bel appartement bien fini 2 chambres 2SDB Roches Noires, Casablanca 78 m² 2 Pièces 2 Chambres 2 Salles de bains Terrasse Garage Ascenseur Concierge Salon Marocain Antenne parabolique Sécurité Porte blindée Cuisine équipée Je met en vente un joli appartement de 78m2 2 chambres et 2 SDB avec place au garage dans une résidence sécurisée et bien etretenue à Roches Noires. L'appartement est au 3ème étage vue sur rue Dr Roux, composé de 2 chambres, 2 Salles de bain bien finies, salon marocain, cuisine équipee bons matériaux, balcon et coin salle à manger. Vente directe propriétaire sans intermédiaire Contacter Appelez WhatsApp"
