property_type,location,price_m2
Villa,Oasis,19645.61
Résidence,Anfa,36585.37
Appartement,Aïn Sebaâ,11404.52
Appartement,Diab Extension,13725.49
Appartement,Beauséjour,11538.46
Appartement,Roches Noires,11025.64
Appartement,Aïn Sebaâ,12500.0
Appartement,Ain Diab,28865.98
Studio,Les princesses,21818.18
Villa,Aïn Sebaâ,13750.0
Appartement,Maarif,17127.07
Appartement,Oasis,21818.18
Appartement,Palmier,21428.57
Appartement,Palmier,21636.36
Appartement,Gauthier,28358.21
Appartement,Laymoune,173.68
Duplex,Hay Mohammadi,8039.22
Appartement,Aïn Sebaâ,11440.57
Appartement,Diab Extension,14285.71
Résidence,Californie,16913.53
Duplex,Beauséjour,12364.34
Studio,Gauthier,27380.95
Studio,Les Hôpitaux,26666.67
Appartement,Bourgogne,17391.3
Appartement,Riviera,18901.23
Appartement,Sidi Moumen,7647.06
Appartement,Bourgogne,25348.84
Appartement,Finance City,24000.0
Appartement,Palmier,15625.0
Appartement,Anfa,15714.29
Appartement,Maarif,12222.22
Appartement,Belvédère,12601.63
Studio,Belvédère,15454.55
Studio,Bourgogne,23214.29
Appartement,Oasis,25000.0
Appartement,Mers Sultan,12380.95
Appartement,Les princesses,12800.0
Villa,Sidi Maârouf,10540.54
Studio,Bourgogne,26750.0
Appartement,Bourgogne,12000.0
Appartement,Aïn Sebaâ,13284.42
Appartement,Diab Extension,13148.15
Studio,Les princesses,26250.0
Appartement,Oasis,17187.5
Studio,Riviera,23224.14
Appartement,Sidi Moumen,7586.21
Appartement,Quartier Bachkou,13694.27
Appartement,Bourgogne,14814.81
Appartement,Les Hôpitaux,12686.57
Appartement,Beauséjour,11890.24
Appartement,Maarif,14044.94
Appartement,Gauthier,25128.21
Appartement,Maarif,11904.76
Appartement,Mers Sultan,10902.26
Appartement,Mers Sultan,11200.0
Appartement,Diab Extension,14608.7
Appartement,Aïn Sebaâ,9753.95
Appartement,Diab Extension,13148.15
Appartement,Riviera,20207.79
Appartement,Sidi Moumen,7350.0
Appartement,Palmier,25000.0
Appartement,Bourgogne,19642.86
Appartement,Les princesses,28444.44
Appartement,Oasis,23600.0
Villa,Anfa,18549.75
Villa,Californie,13664.6
Appartement,Les princesses,14052.29
Villa,Anfa,22029.7
Maison,Sidi Maârouf,6400.0
Appartement,Belvédère,5704.7
Appartement,Les princesses,15789.47
Appartement,Ain Diab,27810.65
Villa,Ain Diab,20205.48
Immeuble,Centre Ville,10000.0
Appartement,Belvédère,6666.67
Appartement,Aïn Sebaâ,11645.57
Appartement,Aïn Sebaâ,11191.37
Appartement,Diab Extension,13148.15
Studio,Les Hôpitaux,12650.0
Studio,Palmier,22500.0
Studio,Riviera,22000.0
Appartement,Sidi Moumen,7592.59
Appartement,Les princesses,12400.0
Appartement,Bourgogne,15500.0
Appartement,Oasis,23289.47
Villa,Ain Diab,21666.67
Villa,Anfa,23888.89
Studio,Alsace Lorraine,20232.56
Appartement,Maarif,20333.33
Appartement,Bourgogne,12688.17
Studio,Les princesses,18493.15
Villa,Diab Extension,15000.0
Appartement,Aïn Sebaâ,10879.12
Studio,Riviera,20985.71
Villa,Anfa,17250.0
Villa,Anfa,36000.0
Villa,Anfa,19090.91
Appartement,Finance City,22264.15
Appartement,Les princesses,25600.0
Appartement,Finance City,23095.24
Studio,Mers Sultan,16666.67
Appartement,Gauthier,14736.84
Appartement,Derb Ghalef,17816.09
Appartement,Aïn Sebaâ,12316.34
Appartement,Aïn Sebaâ,12922.08
Appartement,Val Fleury,15040.65
Studio,Riviera,21709.3
Appartement,Sidi Moumen,8000.0
Appartement,Les princesses,21200.0
Villa,Californie,13333.33
Villa,Californie,19480.52
Studio,Oasis,22692.31
Appartement,Les princesses,22000.0
Appartement,Palmier,20535.71
Appartement,Maarif,15108.7
Appartement,Gauthier,14444.44
Villa,Sidi Maârouf,11350.0
Villa,Diab Extension,15900.0
Studio,Bourgogne,25000.0
Appartement,Laymoune,16666.67
Appartement,Aïn Sebaâ,12211.24
Appartement,Aïn Sebaâ,10097.09
Appartement,Diab Extension,17252.4
Appartement,Ain Diab,26829.27
Villa,Ain Diab,21533.33
Appartement,Riviera,19986.3
Villa,Aïn Chock,15909.09
Studio,Oasis,22400.0
Studio,Palmier,18769.23
Studio,Oasis,14042.55
Studio,Les princesses,13025.21
Studio,Riviera,27380.95
Studio,Les princesses,22641.51
Studio,Gauthier,145.45
Appartement,Roches Noires,11358.02
Appartement,Aïn Sebaâ,10000.0
Appartement,Hay Hassani,14851.49
Appartement,Californie,17500.0
Studio,Oasis,18219.18
Appartement,Oasis,23600.0
Appartement,Anfa,31147.54
Studio,Palmier,24905.66
Immeuble,Maarif,23076.92
Villa,Les Hôpitaux,12408.76
Villa,Ain Diab,12256.27
Appartement,Bourgogne,14824.12
Appartement,Californie,15294.12
Résidence,Alsace Lorraine,16666.67
Appartement,Palmier,12982.46
Appartement,Anfa,31147.54
Résidence,Finance City,15277.78
Appartement,Laymoune,16336.63
Studio,Finance City,28571.43
Appartement,Anfa,36585.37
Appartement,Californie,17072.92
Appartement,Bourgogne,13440.86
Appartement,Palmier,18787.88
Appartement,Mers Sultan,18560.61
Appartement,Oasis,20377.36
Appartement,Palmier,21071.43
Appartement,Les princesses,15000.0
Appartement,Les princesses,16535.43
Appartement,Bourgogne,10582.35
Studio,Palmier,29696.97
Appartement,Anfa,36585.37
Appartement,Californie,20779.07
Studio,Les princesses,17142.86
Appartement,Anfa,33112.58
Studio,Les princesses,22000.0
Riad,Riad,24000.0
Immeuble,Beauséjour,13186.81
Appartement,Nassim 1,10235.29
Villa,Ain Diab,20500.0
Appartement,Bourgogne,20952.38
Appartement,Bourgogne,16666.67
Appartement,Maarif,10330.58
Appartement,Diab Extension,14285.71
Appartement,Mers Sultan,6994.82
Appartement,Maarif,15873.02
Appartement,Anfa,33112.58
Studio,Oasis,20307.69
Studio,Palmier,24107.14
Appartement,Aïn Sebaâ,8522.73
Appartement,Finance City,30434.78
Appartement,Hay Hassani,14851.49
Appartement,Californie,20557.69
Appartement,Aïn Sebaâ,10370.37
Appartement,Sidi Maârouf,10500.0
Appartement,Les Hôpitaux,13311.69
Appartement,Roches Noires,7325.58
Appartement,Mers Sultan,14465.41
Appartement,Bourgogne,17355.37
Appartement,Maarif,20000.0
Appartement,Bourgogne,13076.92
Appartement,Les princesses,13725.49
Villa,Californie,15522.39
Appartement,Medina,9333.33
Villa,Ain Diab,26479.75
Appartement,Les princesses,17543.86
Appartement,Les princesses,17919.08
Appartement,Aïn Sebaâ,11333.33
Studio,Riviera,23584.91
Appartement,Aïn Sebaâ,13263.25
Appartement,Bourgogne,19262.3
Appartement,Ain Diab,20136.52
Appartement,Ain Diab,29545.45
Studio,Hay Hassani,15400.0
Villa,Diab Extension,20373.51
Appartement,Finance City,23960.0
Appartement,Diab Extension,28461.54
Villa,Californie,22222.22
Appartement,Maarif,16101.69
Villa,Nassim 2,10256.41
Appartement,Riviera,13790.54
Villa,Ain Diab,21533.33
Appartement,Aïn Sebaâ,10759.49
Studio,Riviera,20055.56
Appartement,Aïn Sebaâ,14267.21
Studio,Oasis,23404.26
Villa,Diab Extension,28571.43
Appartement,Gauthier,13372.09
Appartement,Bourgogne,13257.58
Appartement,Beauséjour,11870.5
Appartement,Californie,20779.07
Appartement,Riviera,16791.67
Appartement,Anfa,25144.51
Villa,Californie,20000.0
Villa,Anfa,42857.14
Appartement,Maarif,11038.96
Appartement,Californie,16913.53
Appartement,Aïn Sebaâ,10101.01
Studio,Riviera,19835.16
Appartement,Aïn Sebaâ,12865.47
Appartement,Belvédère,140776.7
Appartement,Gauthier,16666.67
Villa,Anfa,17741.94
Immeuble,Mers Sultan,36000.0
Villa,Californie,17500.0
Villa,Ain Diab,25571.43
Villa,Anfa,33333.33
Studio,Les princesses,30952.38
Villa,Ain Diab,22000.0
Studio,Riviera,17183.67
Appartement,Anfa,26455.03
Appartement,Californie,17072.92
Appartement,Aïn Sebaâ,10400.0
Appartement,Aïn Sebaâ,14406.59
Appartement,Val Fleury,20000.0
Appartement,Belvédère,14408.6
Appartement,Gauthier,19491.53
Villa,Maarif,31250.0
Appartement,Diab Extension,15079.37
Villa,Ain Diab,19292.04
Appartement,Beauséjour,19090.91
Appartement,Anfa,26627.22
Appartement,Ain Diab,24725.27
Appartement,Californie,17078.95
Appartement,Aïn Sebaâ,10061.73
Studio,Riviera,21312.5
Appartement,Aïn Sebaâ,11387.25
Appartement,Val Fleury,15813.95
Appartement,Belvédère,12845.53
Appartement,Palmier,15252.53
Appartement,Maarif,16980.77
Appartement,Roches Noires,15714.29
Appartement,Diab Extension,15048.54
Appartement,Diab Extension,15079.37
Appartement,Gauthier,13358.78
Villa,Diab Extension,24886.36
Appartement,Finance City,110.17
Appartement,Californie,17050.0
Appartement,Anfa,27372.26
Appartement,Maarif,16641.22
Appartement,Californie,16913.53
Studio,Riviera,21917.81
Appartement,Val Fleury,20555.56
Appartement,Belvédère,12461.54
Appartement,Palmier,18072.92
Appartement,Maarif,15877.78
Appartement,Roches Noires,15714.29
Appartement,Diab Extension,11502.35
Appartement,Diab Extension,14285.71
Penthouse,Anfa,25786.16
Appartement,Ain Diab,28934.01
Villa,Nassim 2,7734.38
Appartement,Aïn Sebaâ,11341.46
Appartement,Maarif,20701.75
Appartement,Californie,20557.69
Appartement,Anfa,27218.93
Studio,Maarif,24363.64
Appartement,Les princesses,15691.49
Appartement,Maarif,13306.45
Studio,Oasis,24683.54
Appartement,Val Fleury,18941.18
Appartement,Belvédère,12393.16
Appartement,Maarif,17126.44
Appartement,Roches Noires,15714.29
Duplex,Diab Extension,14166.67
Appartement,Diab Extension,15079.37
Appartement,Alsace Lorraine,20232.56
Appartement,Californie,17020.2
Penthouse,Anfa,27218.93
Appartement,Gauthier,19000.0
Appartement,Gauthier,13043.48
Studio,Riviera,180.85
Studio,Alsace Lorraine,18048.78
Appartement,Les princesses,11263.74
Villa,Ain Diab,18471.34
Appartement,Californie,17214.29
Appartement,Anfa,25786.16
