property_type,location,price_m2
terrain,Aïn Sebaâ,9000.0
terrain,Ain Chock,12129.32
terrain,Ain Diab,17157.367
terrain,Ain Diab,16319.13
terrain,Ain Diab,25000.0
terrain,Ain Diab Extension,15595.016666666668
terrain,Ain Diab Extension,81196.58
terrain,Ain Diab,17841.97
terrain,Ain Sebaa,10000.0
terrain,Ain chock,9068.83
terrain,Ain sbaa,4545.45
terrain,Ain Diab,12000.0
terrain,Almaz,9000.0
terrain,Almaz,9000.0
terrain,Anfa,48387.1
terrain,Anfa,27808.73857142857
terrain,Anfa,18666.67
terrain,Anfa,28734.28
terrain,Aïn Sebaâ,7325.88
terrain,Aïn Sebaâ,19000.0
terrain,Aïn Sebaâ,11394.56
terrain,Hermitage,23178.81
terrain,Belvédère,23913.04
terrain,Bachkou,25000.0
terrain,Anfa,48123.2
terrain,Beausejour Hay Hassani,19266.06
terrain,Beauséjour,22936.506666666668
terrain,Belvédère,14546.736666666666
terrain,Belvédère,28000.0
terrain,Californie,11250.0
terrain,Hay Salam,21389.18
terrain,Ain Diab Extension,20378.15
terrain,Californie,13873.9825
terrain,Californie,5600.0
terrain,Aïn Sebaâ,12000.0
terrain,Laymoune,18269.23
terrain,Centre Ville,13003.19
terrain,Californie,11501.63
terrain,Anfa,21484.38
terrain,Sidi Maarouf,9500.0
terrain,Mers Sultan,28000.0
terrain,Ain Diab,16949.15
terrain,Almaz,6666.67
terrain,Ain Diab,13346.36
terrain,Diab Extension,14000.0
terrain,Al Farah Dar Essalam,7500.0
terrain,Californie,8500.0
terrain,Ain Diab Extension,15000.0
terrain,Mandarona,7710.65
terrain,Ain Diab,11528.61
terrain,Ain Diab,18000.0
terrain,Ain Diab,29833.33
terrain,asis,17500.0
terrain,Mandarona,8157.89
terrain,Sidi Maarouf,13000.0
terrain,Sidi Maarouf,27160.49
terrain,Californie,11144.88
terrain,Californie,10282.78
terrain,Californie,5800.0
terrain,Ain Diab Extension,9065.42
terrain,Hay Salam,28000.0
terrain,Ain Diab,16000.0
terrain,Ain Diab Extension,12000.0
terrain,Oulfa,6578.07
terrain,Californie,14481.71
terrain,Sidi Maarouf,8000.0
terrain,Lissasfa,10500.0
terrain,Ain Diab Extension,18000.0
terrain,Californie,10074.23
terrain,Sidi Maarouf,9765.19
terrain,Sidi Maarouf,24031.12
terrain,Californie,10040.16
terrain,Mandarona,9000.0
terrain,Ain Diab Extension,11830.99
terrain,Oulfa,7000.0
terrain,Hay Salam,21167.05
terrain,Aïn Sebaâ,10000.0
terrain,Californie,9482.76
terrain,Ain Diab,11500.0
terrain,Laymoune,15500.0
terrain,Californie,10040.16
terrain,Sidi Maarouf,11000.0
terrain,Almaz,9459.46
terrain,Al Qods,16666.67
terrain,Californie,7855.97
terrain,Anfa,21700.0
terrain,Lekrimat,8750.0
terrain,Hermitage,21000.0
terrain,Mers Sultan,23000.0
terrain,Aïn Sebaâ,2905.57
terrain,Hermitage,8717.95
terrain,Oulfa,13528.14
terrain,Ain Diab Ain Diab,16000.0
terrain,Aïn Sebaâ,8035.17
terrain,Sidi Moumen,14583.33
terrain,Hermitage,8962.26
terrain,Sidi Maarouf,17157.71
terrain,Ain Diab,25641.03
terrain,Polo,8000.0
terrain,Maârif,22641.51
terrain,Almaz,6700.0
terrain,Californie,17468.69
terrain,Hay Hassani,16453.38
terrain,Oulfa,17200.0
terrain,Palmier,24229.69
terrain,Polo,10074.23
terrain,Hay Mohammadi,11111.11
terrain,Hay Chrifa,18500.0
terrain,Hay Salam,27649.77
terrain,Californie,15000.0
terrain,Ain Diab,21126.76
terrain,Gauthier,23517.855
terrain,Gauthier Gauthier,38659.79
terrain,Hay Arrahma,6000.0
terrain,Hay Chrifa,19369.37
terrain,Hermitage,11335.683333333334
terrain,Investissement Sidi Belyout,32876.71
terrain,Laymoune,12797.07
terrain,Les Hôpitaux,42.3
terrain,Les princesses,32000.0
terrain,Les princesses,
terrain,Lissasfa,3289.328
terrain,Lissasfa,16000.0
terrain,Hay Al Hanâa,13958.33
terrain,Hay Al Hanâa,19090.91
terrain,Maârif,35106.38
terrain,Oulfa,15151.52
terrain,Derb Ghalef,16900.0
terrain,Maârif,16496.57
terrain,Maârif,15333.344000000001
terrain,Mers Sultan,21502.934999999998
terrain,Bourgogne,29644.27
terrain,Lissasfa,6677.52
terrain,Oasis,17166.666666666668
terrain,Oasis,48416.665
terrain,Oasis Oasis,9500.0
terrain,Oulfa,12659.0
terrain,Palmier,27001.7
terrain,Californie,13000.0
terrain,Riviera,16833.333333333332
terrain,Roches Noires,597020.7999999999
terrain,Sidi Moumen,15000.0
terrain,Sidi Belyout,31000.0
terrain,Sidi El Khadir,10743.8
terrain,Sidi Maarouf,9591.612857142858
terrain,Sidi Maarouf,9600.0
terrain,Sidi Maarouf,9000.0
terrain,Sidi Messaoud,6331.12
terrain,Sidi Maarouf,8032.13
terrain,Sidi Moumen,11000.0
terrain,Aïn Sebaâ,14000.0
terrain,Ain Diab,13274.34
terrain,Mers Sultan,40920.72
terrain,Oasis,9826.59
terrain,Aïn Sebaâ,4772.73
terrain,Almaz,8500.0
terrain, Bourgogne,35433.07
terrain,Oasis,11001.05
terrain,Californie,9575.1
terrain, Hay Palestine,13829.79
terrain,Hay Al Hanâa,14728.68
terrain,Hay Al Hanâa,13636.36
terrain,Laymoune,14337.35
terrain,Maârif,20562.77
terrain,Hermitage,21322.31
terrain,Ain Diab,20487.11
terrain,Sidi Maarouf,10505.84
terrain,Lissasfa,7750.0
terrain,Ain Diab,25178.25
terrain,Californie,9240.15
terrain,Ain Diab,16489.36
terrain,Laymoune,11500.0
terrain,Sidi Maarouf,24200.91
terrain,Californie,10998.99
terrain,Anfa,17500.0
terrain,Maârif,38095.24
terrain,Lissasfa,6289.31
terrain, Oasis sud,19100.0
terrain, Riviera,30000.0
terrain,Ain Chock,15060.24
terrain, Hôpitaux Plateau,25006.52
terrain,mers sultan La Gironde,18407.96
terrain, Anfa Ain Diab Anfa,14500.0
terrain,Ain Diab,9997.86
terrain,Belvédère,22000.0
terrain,CFC,19090.91
terrain,Maârif,25000.0
terrain,Sidi Moumen,6485.54
terrain,Maârif,30000.0
terrain,Maârif,22052.85
terrain,Les princesses,42514.97
terrain,Ain Diab,6796.32
terrain,Anfa,40000.0
terrain,Anfa Supérieur,20000.0
terrain,Lissasfa,4000.0
terrain,Californie,9500.0
terrain,Aïn Sebaâ ,8000.0
terrain, Anfa,15164.84
terrain,Ain Diab,11864.826666666666
terrain, Ain Diab Extension,8255.16
terrain,Aïn Sebaâ,6125.83
terrain,Aïn Sebaâ,9500.0
terrain,Aïn Sebaâ,1300.0
terrain,Anfa Supérieur,20000.0
terrain,Ain Diab,17612.52
terrain,Californie,9165.465
terrain,Ain Diab,23000.0
terrain,Oasis,18500.0
terrain,Maârif,16163.79
terrain,Sidi Maarouf,20000.0
terrain,Hay Al Hanâa,14545.45
terrain,Maârif Extension,18000.0
terrain,RIVIERA,15555.56
terrain,Anfa,38000.0
terrain,Aïn Sebaâ,6533.33
terrain,Anfa,20394.74
terrain,Ain Diab Extension,19000.0
terrain,Maârif,36324.79
terrain,Centre Ville,36061.03
terrain,Centre Ville,34278.46
terrain,Sidi Belyout,33495.74
terrain,Ain Diab,28000.0
terrain,Hay Al Hanâa,24517.68
terrain,Ain Diab,11004.78
terrain,Ain diab Ain Diab,17971.01
