source,property_type,transaction,city,page,title,price_text,price_dh,surface_m2,price_m2_calculated,price_m2_mentioned,location,zoning,facade_m,url,raw_text
mubawab,terrain,vente,Casablanca,1,Terrain à la vente à Aïn Sebaâ. Superficie 524 m² R4,6 288 000 DH,6288000.0,524,12000.0,,Aïn Sebaâ,R4,,https://www.mubawab.ma/fr/a/8312597/terrain-%C3%A0-la-vente-%C3%A0-a%C3%AFn-seba%C3%A2-superficie-524-m%C2%B2-r4,"6 288 000 DH Terrain à la vente à Aïn Sebaâ. Superficie 524 m² R4 Aïn Sebaâ, Casablanca 524 m² Beau terrain bien situé en R4, à vendre. Prix 6288000 DH. Présente une surface totale de 524 m². Ce terrain est proposé à la vente à Aïn Sebaâ, Casablanca Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Terrain a vendre Zone Immeuble,22 000 000 DH,22000000.0,810,27160.49,,DH Terrain a vendre Zone Immeuble Sidi Maarouf,R4,,https://www.mubawab.ma/fr/a/8337876/terrain-a-vendre-zone-immeuble,"22 000 000 DH Terrain a vendre Zone Immeuble Sidi Maarouf, Casablanca 810 m² TERRAIN À VENDRE Terrain idéalement situé au quartier Sidi Maarouf dans une zone à fort potentiel. Autorisation : RDC 4 étages (R4) Zone mixte : possibilité de projets résidentiels, commerciaux ou bureaux Idéal pour promoteur ou investisseur. Pour plus d’informations, merci de nous contacter Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Vente terrain à Anfa Supérieur. Superficie 1200 m²,28 800 000 DH,28800000.0,1200,24000.0,,Anfa Supérieur,,,https://www.mubawab.ma/fr/a/8339873/vente-terrain-%C3%A0-anfa-sup%C3%A9rieur-superficie-1200-m%C2%B2,"28 800 000 DH Vente terrain à Anfa Supérieur. Superficie 1200 m² Anfa Supérieur, Casablanca 1200 m² Achetez votre terrain. Prix 28 800 000 DH. Superficie de 1200 m². Venez découvrir ce terrain en vente à Anfa Supérieur, Casablanca Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Terrain pour villa à ain diab proche morocco mall,12 600 000 DH,12600000.0,1065,11830.99,,DH Terrain pour villa à ain diab proche morocco mall Ain Diab Extension,D3,,https://www.mubawab.ma/fr/a/8329969/terrain-pour-villa-%C3%A0-ain-diab-proche-morocco-mall,"12 600 000 DH Terrain pour villa à ain diab proche morocco mall Ain Diab Extension, Casablanca 1065 m² À VENDRE – Terrain villa de 1 065 m² – Ain Diab Extension, Casablanca Vous propose à la vente un terrain exceptionnel situé à Ain Diab Extension, dans un environnement résidentiel très recherché, à seulement 4 minutes du Morocco Mall et 5 minutes de la plage (Porte 13 / Madame Chaoual). Situé au sein d’une zone villa D3, ce terrain bénéficie d’un emplacement stratégique offrant un accès rapide aux axes principaux, tout en étant suffisamment en... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Terrain zone immeuble B5 sans vis à vis à vendre,21 300 000 DH,21300000.0,501,42514.97,,sans vis à vis à vendre Les princesses,B5,,https://www.mubawab.ma/fr/a/8318823/terrain-zone-immeuble-b5-sans-vis-%C3%A0-vis-%C3%A0-vendre,"21 300 000 DH Terrain zone immeuble B5 sans vis à vis à vendre Les princesses, Casablanca 501 m² Saigh Immo met en vente ce terrain bien orienté, assurant un excellent emplacement angle et sans vis à vis en zone immeuble B5. Atouts majeurs : * Superficie : 501m² * Zone immeuble * Possibilité de construire un immeuble B5 * 40m de façade * Bonne orientation, garantissant ensoleillement et ventilation naturelle * A proximité des commodités Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Terrain à vendre à Anfa. Surface de 1752 m²,61 320 000 DH,61320000.0,1752,35000.0,,Anfa,D4,,https://www.mubawab.ma/fr/a/8326372/terrain-%C3%A0-vendre-%C3%A0-anfa-surface-de-1752-m%C2%B2,"61 320 000 DH Terrain à vendre à Anfa. Surface de 1752 m² Anfa, Casablanca 1752 m² Opportunité rare à la vente Terrain situé entre Akdital et Roche Bobois Villa commerciale d’angle sur Bd Abdelkrim Khattabi Quartier Chantilly Située dans un emplacement stratégique et premium sur boulevard, au cœur du quartier Chantilly, cette propriété bénéficie d’une visibilité exceptionnelle, idéale pour un projet d’envergure. Terrain : 1 752 m² ️ Zonage : D4 avec linéaire commercial sur boulevard Villa existante à démolir ou à rén... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Terrain Oasis R3,12 996 000 DH,12996000.0,722,18000.0,,Oasis,R3,,https://www.mubawab.ma/fr/a/8309460/terrain-oasis-r3,"12 996 000 DH Terrain Oasis R3 Oasis, Casablanca 722 m² Terrain rectangulaire de 22 m de façade sur 35 m de profondeur, situé sur la Rue de Franceville. Orientation Sud Zone B secteur B3s, idéal promotion résidentielle ou projet haut standing. Dossier sur demande Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Locaux commerciaux à Hay Hassani,1 719 390 DH,1719390.0,77,22329.74,,ces commerces sont idéaux pour les commerçants souhaitant Hay Hassani,,,https://www.mubawab.ma/fr/p/4342/locaux-commerciaux-%C3%A0-hay-hassani,"À partir de 1 719 390 DH IMMOBILIER NEUF Locaux commerciaux à Hay Hassani missimi living propose des locaux commerciaux d'une superficie allant de 77 m² et 243 m². situés dans le quartier dynamique de hay hassani. ces commerces sont idéaux pour les commerçants souhaitant Hay Hassani, Casablanca Moyen standing Finalisé En savoir plus"
mubawab,terrain,vente,Casablanca,1,Terrain HÔTEL exceptionnel sur la CORNICHE,179 000 000 DH,179000000.0,6000,29833.33,,DH Terrain HÔTEL exceptionnel sur la CORNICHE Ain Diab,,,https://www.mubawab.ma/fr/a/7290395/terrain-h%C3%B4tel-exceptionnel-sur-la-corniche,"179 000 000 DH Terrain HÔTEL exceptionnel sur la CORNICHE Ain Diab, Casablanca 6000 m² Impressionnant terrain HÔTEL de plus de 6000 mètres Idéal pour projet touristique de haut standing Localisation exceptionnelle dans la meilleure partie de la corniche Tout simplement le plus beau terrain hôtel de de la corniche et possiblement de tout Casablanca La vue sur mer depuis sa position en hauteur est digne d’une carte postale. Un terrain d’exception pour un projet d’exception. Une sélection ANFA CONSEIL la première... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,Beau Terrain Villa 1000 metres Anfa Ain Diab,14 500 000 DH,14500000.0,1000,14500.0,,metres Anfa Ain Diab Anfa,,,https://www.mubawab.ma/fr/a/8203266/beau-terrain-villa-1000-metres-anfa-ain-diab,"14 500 000 DH Beau Terrain Villa 1000 metres Anfa Ain Diab Anfa, Casablanca 1000 m² L’accès d’un investissement intelligent pour construire une villa de maître . Joli terrain d’environ 1000 m² avec villa à raser, situé dans la meilleure partie du vieux Ain Diab, à 5 minutes d’Anfa Supérieur et de la corniche. Une opportunité unique avec un prix sacrifié à 14,5 M au lieu de 17 M, suite à une expatriation urgente. Ce beau terrain est à équidistance entre Anfa et Ain Diab, dans un environnement calme et exclusif, offrant u... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,A Vendre Terrain De 1800 m² Quartier Polo Casa,21 600 000 DH,21600000.0,1800,12000.0,,Quartier Polo Casa Les Crêtes,,,https://www.mubawab.ma/fr/a/8341855/a-vendre-terrain-de-1800-m%C2%B2-quartier-polo-casa,"21 600 000 DH A Vendre Terrain De 1800 m² Quartier Polo Casa Les Crêtes, Casablanca 1800 m² 4 Chambres À VENDRE – Villa à Démolir – Terrain 1 800 m² – Quartier Polo, Casablanca Opportunité rare dans le quartier résidentiel et prisé du Polo à Casablanca À vendre : Villa construite en Rez-de-Chaussée (RDC) sur un terrain plat de 1 800 m², idéale pour une démolition. Composition actuelle de la villa : 3 salons 4 chambres 2 salles de bains 2 salles d’eau 1 cuisine 2 chambres du personnel avec toilettes Prix : 21 600 000 DH Ce terrain offre de très bel... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,1,A Vendre Terrain R4 quartier Palmier Maârif,11 500 000 DH,11500000.0,460,25000.0,25000.0,quartier Palmier Maârif Palmier,R4,,https://www.mubawab.ma/fr/a/8316757/a-vendre-terrain-r4-quartier-palmier-ma%C3%A2rif,"11 500 000 DH A Vendre Terrain R4 quartier Palmier Maârif Palmier, Casablanca 460 m² Superficie : 460 m² Situé dans le quartier Palmier, commune Maârif. Zoning B4 pour immeuble R4. Prix : 25 000 DH/m² N’hésitez pas à me contacter pour plus d’informations Contacter Appelez WhatsApp"
